fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
2009 Chevrolet 6.6L Duramax LMM,2009-chevrolet-6-6l-duramax-lmm,gid://shopify/Metaobject/279910744429,fitment_vehicle,,2026-01-31T01:09:07Z,2009,chevrolet,6.6L,duramax,LMM,"{""year"": ""2009"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2009 Chevrolet 6.6L Duramax LMM""}"
2009 Ford 6.4L Powerstroke,2009-ford-6-4l-powerstroke,gid://shopify/Metaobject/279913070957,fitment_vehicle,,2026-01-31T01:09:47Z,2009,ford,6.4L,powerstroke,,"{""year"": ""2009"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.4L Powerstroke"", ""display_name"": ""2009 Ford 6.4L Powerstroke""}"
2009 GMC 6.6L Duramax LMM,2009-gmc-6-6l-duramax-lmm,gid://shopify/Metaobject/279910777197,fitment_vehicle,,2026-01-31T01:09:08Z,2009,gmc,6.6L,duramax,LMM,"{""year"": ""2009"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2009 GMC 6.6L Duramax LMM""}"
2009 Dodge/Ram 6.7L Cummins,2009-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911858541,fitment_vehicle,,2026-01-31T01:09:27Z,2009,ram,6.7L,cummins,,"{""year"": ""2009"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2009 Dodge/Ram 6.7L Cummins""}"
2009 Sprinter 3.0L,2009-sprinter-3-0l,gid://shopify/Metaobject/279918543213,fitment_vehicle,,2026-01-31T01:11:21Z,2009,sprinter,3.0L,,,"{""year"": ""2009"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2009 Sprinter 3.0L""}"
2009 Volkswagen 2.0L TDI,2009-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279914774893,fitment_vehicle,,2026-01-31T01:10:17Z,2009,volkswagen,2.0L,,TDI,"{""year"": ""2009"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2009 Volkswagen 2.0L TDI""}"
2010 Chevrolet 6.6L Duramax LMM,2010-chevrolet-6-6l-duramax-lmm,gid://shopify/Metaobject/279910809965,fitment_vehicle,,2026-01-31T01:09:09Z,2010,chevrolet,6.6L,duramax,LMM,"{""year"": ""2010"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2010 Chevrolet 6.6L Duramax LMM""}"
2010 Ford 6.4L Powerstroke,2010-ford-6-4l-powerstroke,gid://shopify/Metaobject/279913103725,fitment_vehicle,,2026-01-31T01:09:48Z,2010,ford,6.4L,powerstroke,,"{""year"": ""2010"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.4L Powerstroke"", ""display_name"": ""2010 Ford 6.4L Powerstroke""}"
2010 GMC 6.6L Duramax LMM,2010-gmc-6-6l-duramax-lmm,gid://shopify/Metaobject/279910842733,fitment_vehicle,,2026-01-31T01:09:09Z,2010,gmc,6.6L,duramax,LMM,"{""year"": ""2010"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2010 GMC 6.6L Duramax LMM""}"
2010 Dodge/Ram 6.7L Cummins,2010-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911137645,fitment_vehicle,,2026-01-31T01:09:14Z,2010,ram,6.7L,cummins,,"{""year"": ""2010"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2010 Dodge/Ram 6.7L Cummins""}"
2010 Sprinter 3.0L,2010-sprinter-3-0l,gid://shopify/Metaobject/279918575981,fitment_vehicle,,2026-01-31T01:11:22Z,2010,sprinter,3.0L,,,"{""year"": ""2010"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2010 Sprinter 3.0L""}"
2010 Volkswagen 2.0L TDI,2010-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279914807661,fitment_vehicle,,2026-01-31T01:10:17Z,2010,volkswagen,2.0L,,TDI,"{""year"": ""2010"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2010 Volkswagen 2.0L TDI""}"
2011 Chevrolet 6.6L Duramax LML,2011-chevrolet-6-6l-duramax-lml,gid://shopify/Metaobject/279912153453,fitment_vehicle,,2026-01-31T01:09:32Z,2011,chevrolet,6.6L,duramax,LML,"{""year"": ""2011"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2011 Chevrolet 6.6L Duramax LML""}"
2011 Ford 6.7L Powerstroke,2011-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913136493,fitment_vehicle,,2026-01-31T01:09:48Z,2011,ford,6.7L,powerstroke,,"{""year"": ""2011"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2011 Ford 6.7L Powerstroke""}"
2011 GMC 6.6L Duramax LML,2011-gmc-6-6l-duramax-lml,gid://shopify/Metaobject/279912186221,fitment_vehicle,,2026-01-31T01:09:32Z,2011,gmc,6.6L,duramax,LML,"{""year"": ""2011"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2011 GMC 6.6L Duramax LML""}"
2011 Dodge/Ram 6.7L Cummins,2011-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911170413,fitment_vehicle,,2026-01-31T01:09:15Z,2011,ram,6.7L,cummins,,"{""year"": ""2011"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2011 Dodge/Ram 6.7L Cummins""}"
2011 Sprinter 3.0L,2011-sprinter-3-0l,gid://shopify/Metaobject/279918608749,fitment_vehicle,,2026-01-31T01:11:23Z,2011,sprinter,3.0L,,,"{""year"": ""2011"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2011 Sprinter 3.0L""}"
2011 Volkswagen 2.0L TDI,2011-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279914840429,fitment_vehicle,,2026-01-31T01:10:18Z,2011,volkswagen,2.0L,,TDI,"{""year"": ""2011"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2011 Volkswagen 2.0L TDI""}"
2012 Chevrolet 6.6L Duramax LML,2012-chevrolet-6-6l-duramax-lml,gid://shopify/Metaobject/279912218989,fitment_vehicle,,2026-01-31T01:09:33Z,2012,chevrolet,6.6L,duramax,LML,"{""year"": ""2012"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2012 Chevrolet 6.6L Duramax LML""}"
2012 Ford 6.7L Powerstroke,2012-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913169261,fitment_vehicle,,2026-01-31T01:09:49Z,2012,ford,6.7L,powerstroke,,"{""year"": ""2012"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2012 Ford 6.7L Powerstroke""}"
2012 GMC 6.6L Duramax LML,2012-gmc-6-6l-duramax-lml,gid://shopify/Metaobject/279912251757,fitment_vehicle,,2026-01-31T01:09:33Z,2012,gmc,6.6L,duramax,LML,"{""year"": ""2012"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2012 GMC 6.6L Duramax LML""}"
2012 Dodge/Ram 6.7L Cummins,2012-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911203181,fitment_vehicle,,2026-01-31T01:09:15Z,2012,ram,6.7L,cummins,,"{""year"": ""2012"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2012 Dodge/Ram 6.7L Cummins""}"
2012 Sprinter 3.0L,2012-sprinter-3-0l,gid://shopify/Metaobject/279918641517,fitment_vehicle,,2026-01-31T01:11:23Z,2012,sprinter,3.0L,,,"{""year"": ""2012"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2012 Sprinter 3.0L""}"
2012 Volkswagen 2.0L TDI,2012-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279914873197,fitment_vehicle,,2026-01-31T01:10:18Z,2012,volkswagen,2.0L,,TDI,"{""year"": ""2012"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2012 Volkswagen 2.0L TDI""}"
2013 Chevrolet 6.6L Duramax LML,2013-chevrolet-6-6l-duramax-lml,gid://shopify/Metaobject/279913431405,fitment_vehicle,,2026-01-31T01:09:54Z,2013,chevrolet,6.6L,duramax,LML,"{""year"": ""2013"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2013 Chevrolet 6.6L Duramax LML""}"
2013 Ford 6.7L Powerstroke,2013-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913202029,fitment_vehicle,,2026-01-31T01:09:49Z,2013,ford,6.7L,powerstroke,,"{""year"": ""2013"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2013 Ford 6.7L Powerstroke""}"
2013 GMC 6.6L Duramax LML,2013-gmc-6-6l-duramax-lml,gid://shopify/Metaobject/279913464173,fitment_vehicle,,2026-01-31T01:09:54Z,2013,gmc,6.6L,duramax,LML,"{""year"": ""2013"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2013 GMC 6.6L Duramax LML""}"
2013 Dodge/Ram 6.7L Cummins,2013-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911235949,fitment_vehicle,,2026-01-31T01:09:16Z,2013,ram,6.7L,cummins,,"{""year"": ""2013"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2013 Dodge/Ram 6.7L Cummins""}"
2013 Sprinter 3.0L,2013-sprinter-3-0l,gid://shopify/Metaobject/279918674285,fitment_vehicle,,2026-01-31T01:11:24Z,2013,sprinter,3.0L,,,"{""year"": ""2013"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2013 Sprinter 3.0L""}"
2013 Volkswagen 2.0L TDI,2013-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279914905965,fitment_vehicle,,2026-01-31T01:10:19Z,2013,volkswagen,2.0L,,TDI,"{""year"": ""2013"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2013 Volkswagen 2.0L TDI""}"
2014 Chevrolet 6.6L Duramax LML,2014-chevrolet-6-6l-duramax-lml,gid://shopify/Metaobject/279913496941,fitment_vehicle,,2026-01-31T01:09:55Z,2014,chevrolet,6.6L,duramax,LML,"{""year"": ""2014"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2014 Chevrolet 6.6L Duramax LML""}"
2014 Ford 6.7L Powerstroke,2014-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913234797,fitment_vehicle,,2026-01-31T01:09:50Z,2014,ford,6.7L,powerstroke,,"{""year"": ""2014"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2014 Ford 6.7L Powerstroke""}"
2014 GMC 6.6L Duramax LML,2014-gmc-6-6l-duramax-lml,gid://shopify/Metaobject/279913529709,fitment_vehicle,,2026-01-31T01:09:55Z,2014,gmc,6.6L,duramax,LML,"{""year"": ""2014"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2014 GMC 6.6L Duramax LML""}"
2014 Dodge/Ram 3.0L EcoDiesel,2014-dodge-ram-3-0l-ecodiesel,gid://shopify/Metaobject/279912284525,fitment_vehicle,,2026-01-31T01:09:34Z,2014,ram,3.0L,ecodiesel,,"{""year"": ""2014"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""3.0L EcoDiesel"", ""display_name"": ""2014 Dodge/Ram 3.0L EcoDiesel""}"
2014 Dodge/Ram 6.7L Cummins,2014-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911268717,fitment_vehicle,,2026-01-31T01:09:16Z,2014,ram,6.7L,cummins,,"{""year"": ""2014"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2014 Dodge/Ram 6.7L Cummins""}"
2014 Sprinter 2.1L,2014-sprinter-2-1l,gid://shopify/Metaobject/279918707053,fitment_vehicle,,2026-01-31T01:11:24Z,2014,sprinter,2.1L,,,"{""year"": ""2014"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.1L"", ""display_name"": ""2014 Sprinter 2.1L""}"
2014 Sprinter 3.0L,2014-sprinter-3-0l,gid://shopify/Metaobject/279918739821,fitment_vehicle,,2026-01-31T01:11:25Z,2014,sprinter,3.0L,,,"{""year"": ""2014"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2014 Sprinter 3.0L""}"
2014 Volkswagen 2.0L TDI,2014-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279914938733,fitment_vehicle,,2026-01-31T01:10:19Z,2014,volkswagen,2.0L,,TDI,"{""year"": ""2014"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2014 Volkswagen 2.0L TDI""}"
2015 Chevrolet 2.8L Duramax LWN,2015-chevrolet-2-8l-duramax-lwn,gid://shopify/Metaobject/279920247149,fitment_vehicle,,2026-01-31T01:11:50Z,2015,chevrolet,2.8L,duramax,LWN,"{""year"": ""2015"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2015 Chevrolet 2.8L Duramax LWN""}"
2015 Chevrolet 6.6L Duramax LML,2015-chevrolet-6-6l-duramax-lml,gid://shopify/Metaobject/279913562477,fitment_vehicle,,2026-01-31T01:09:56Z,2015,chevrolet,6.6L,duramax,LML,"{""year"": ""2015"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2015 Chevrolet 6.6L Duramax LML""}"
2015 Ford 6.7L Powerstroke,2015-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913267565,fitment_vehicle,,2026-01-31T01:09:51Z,2015,ford,6.7L,powerstroke,,"{""year"": ""2015"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2015 Ford 6.7L Powerstroke""}"
2015 GMC 2.8L Duramax LWN,2015-gmc-2-8l-duramax-lwn,gid://shopify/Metaobject/279920279917,fitment_vehicle,,2026-01-31T01:11:50Z,2015,gmc,2.8L,duramax,LWN,"{""year"": ""2015"", ""make"": ""GMC"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2015 GMC 2.8L Duramax LWN""}"
2015 GMC 6.6L Duramax LML,2015-gmc-6-6l-duramax-lml,gid://shopify/Metaobject/279913595245,fitment_vehicle,,2026-01-31T01:09:56Z,2015,gmc,6.6L,duramax,LML,"{""year"": ""2015"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2015 GMC 6.6L Duramax LML""}"
2015 Dodge/Ram 3.0L EcoDiesel,2015-dodge-ram-3-0l-ecodiesel,gid://shopify/Metaobject/279912317293,fitment_vehicle,,2026-01-31T01:09:34Z,2015,ram,3.0L,ecodiesel,,"{""year"": ""2015"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""3.0L EcoDiesel"", ""display_name"": ""2015 Dodge/Ram 3.0L EcoDiesel""}"
2015 Dodge/Ram 6.7L Cummins,2015-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911301485,fitment_vehicle,,2026-01-31T01:09:17Z,2015,ram,6.7L,cummins,,"{""year"": ""2015"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2015 Dodge/Ram 6.7L Cummins""}"
2015 Sprinter 2.1L,2015-sprinter-2-1l,gid://shopify/Metaobject/279918772589,fitment_vehicle,,2026-01-31T01:11:25Z,2015,sprinter,2.1L,,,"{""year"": ""2015"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.1L"", ""display_name"": ""2015 Sprinter 2.1L""}"
2015 Sprinter 3.0L,2015-sprinter-3-0l,gid://shopify/Metaobject/279918805357,fitment_vehicle,,2026-01-31T01:11:26Z,2015,sprinter,3.0L,,,"{""year"": ""2015"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2015 Sprinter 3.0L""}"
2015 Volkswagen 2.0L TDI,2015-volkswagen-2-0l-tdi,gid://shopify/Metaobject/279915987309,fitment_vehicle,,2026-01-31T01:10:38Z,2015,volkswagen,2.0L,,TDI,"{""year"": ""2015"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""2.0L TDI"", ""display_name"": ""2015 Volkswagen 2.0L TDI""}"
2016 Chevrolet 2.8L Duramax LWN,2016-chevrolet-2-8l-duramax-lwn,gid://shopify/Metaobject/279912644973,fitment_vehicle,,2026-01-31T01:09:40Z,2016,chevrolet,2.8L,duramax,LWN,"{""year"": ""2016"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2016 Chevrolet 2.8L Duramax LWN""}"
2016 Chevrolet 6.6L Duramax LML,2016-chevrolet-6-6l-duramax-lml,gid://shopify/Metaobject/279913628013,fitment_vehicle,,2026-01-31T01:09:57Z,2016,chevrolet,6.6L,duramax,LML,"{""year"": ""2016"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2016 Chevrolet 6.6L Duramax LML""}"
2016 Ford 6.7L Powerstroke,2016-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913300333,fitment_vehicle,,2026-01-31T01:09:51Z,2016,ford,6.7L,powerstroke,,"{""year"": ""2016"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2016 Ford 6.7L Powerstroke""}"
2016 GMC 2.8L Duramax LWN,2016-gmc-2-8l-duramax-lwn,gid://shopify/Metaobject/279914053997,fitment_vehicle,,2026-01-31T01:10:04Z,2016,gmc,2.8L,duramax,LWN,"{""year"": ""2016"", ""make"": ""GMC"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2016 GMC 2.8L Duramax LWN""}"
2016 GMC 6.6L Duramax LML,2016-gmc-6-6l-duramax-lml,gid://shopify/Metaobject/279913660781,fitment_vehicle,,2026-01-31T01:09:57Z,2016,gmc,6.6L,duramax,LML,"{""year"": ""2016"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LML"", ""display_name"": ""2016 GMC 6.6L Duramax LML""}"
2016 Nissan Titan XD 5.0L Cummins,2016-nissan-titan-xd-5-0l-cummins,gid://shopify/Metaobject/279914250605,fitment_vehicle,,2026-01-31T01:10:08Z,2016,nissan,5.0L,cummins,TITAN,"{""year"": ""2016"", ""make"": ""Nissan"", ""model"": ""Titan XD"", ""engine"": ""5.0L Cummins"", ""display_name"": ""2016 Nissan Titan XD 5.0L Cummins""}"
2016 Dodge/Ram 3.0L EcoDiesel,2016-dodge-ram-3-0l-ecodiesel,gid://shopify/Metaobject/279912350061,fitment_vehicle,,2026-01-31T01:09:35Z,2016,ram,3.0L,ecodiesel,,"{""year"": ""2016"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""3.0L EcoDiesel"", ""display_name"": ""2016 Dodge/Ram 3.0L EcoDiesel""}"
2016 Dodge/Ram 6.7L Cummins,2016-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911334253,fitment_vehicle,,2026-01-31T01:09:18Z,2016,ram,6.7L,cummins,,"{""year"": ""2016"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2016 Dodge/Ram 6.7L Cummins""}"
2016 Sprinter 2.1L,2016-sprinter-2-1l,gid://shopify/Metaobject/279918838125,fitment_vehicle,,2026-01-31T01:11:27Z,2016,sprinter,2.1L,,,"{""year"": ""2016"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.1L"", ""display_name"": ""2016 Sprinter 2.1L""}"
2016 Sprinter 3.0L,2016-sprinter-3-0l,gid://shopify/Metaobject/279918870893,fitment_vehicle,,2026-01-31T01:11:27Z,2016,sprinter,3.0L,,,"{""year"": ""2016"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2016 Sprinter 3.0L""}"
2017 Chevrolet 2.8L Duramax LWN,2017-chevrolet-2-8l-duramax-lwn,gid://shopify/Metaobject/279912677741,fitment_vehicle,,2026-01-31T01:09:41Z,2017,chevrolet,2.8L,duramax,LWN,"{""year"": ""2017"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2017 Chevrolet 2.8L Duramax LWN""}"
2017 Chevrolet 6.6L Duramax L5P,2017-chevrolet-6-6l-duramax-l5p,gid://shopify/Metaobject/279913693549,fitment_vehicle,,2026-01-31T01:09:58Z,2017,chevrolet,6.6L,duramax,L5P,"{""year"": ""2017"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax L5P"", ""display_name"": ""2017 Chevrolet 6.6L Duramax L5P""}"
2017 Ford 6.7L Powerstroke,2017-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913333101,fitment_vehicle,,2026-01-31T01:09:52Z,2017,ford,6.7L,powerstroke,,"{""year"": ""2017"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2017 Ford 6.7L Powerstroke""}"
2017 GMC 2.8L Duramax LWN,2017-gmc-2-8l-duramax-lwn,gid://shopify/Metaobject/279914086765,fitment_vehicle,,2026-01-31T01:10:05Z,2017,gmc,2.8L,duramax,LWN,"{""year"": ""2017"", ""make"": ""GMC"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2017 GMC 2.8L Duramax LWN""}"
2017 GMC 6.6L Duramax L5P,2017-gmc-6-6l-duramax-l5p,gid://shopify/Metaobject/279913726317,fitment_vehicle,,2026-01-31T01:09:58Z,2017,gmc,6.6L,duramax,L5P,"{""year"": ""2017"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax L5P"", ""display_name"": ""2017 GMC 6.6L Duramax L5P""}"
2017 Nissan Titan XD 5.0L Cummins,2017-nissan-titan-xd-5-0l-cummins,gid://shopify/Metaobject/279914283373,fitment_vehicle,,2026-01-31T01:10:08Z,2017,nissan,5.0L,cummins,TITAN,"{""year"": ""2017"", ""make"": ""Nissan"", ""model"": ""Titan XD"", ""engine"": ""5.0L Cummins"", ""display_name"": ""2017 Nissan Titan XD 5.0L Cummins""}"
2017 Dodge/Ram 3.0L EcoDiesel,2017-dodge-ram-3-0l-ecodiesel,gid://shopify/Metaobject/279912382829,fitment_vehicle,,2026-01-31T01:09:36Z,2017,ram,3.0L,ecodiesel,,"{""year"": ""2017"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""3.0L EcoDiesel"", ""display_name"": ""2017 Dodge/Ram 3.0L EcoDiesel""}"
2017 Dodge/Ram 6.7L Cummins,2017-dodge-ram-6-7l-cummins,gid://shopify/Metaobject/279911367021,fitment_vehicle,,2026-01-31T01:09:18Z,2017,ram,6.7L,cummins,,"{""year"": ""2017"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""6.7L Cummins"", ""display_name"": ""2017 Dodge/Ram 6.7L Cummins""}"
2017 Sprinter 2.1L,2017-sprinter-2-1l,gid://shopify/Metaobject/279918903661,fitment_vehicle,,2026-01-31T01:11:28Z,2017,sprinter,2.1L,,,"{""year"": ""2017"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.1L"", ""display_name"": ""2017 Sprinter 2.1L""}"
2017 Sprinter 3.0L,2017-sprinter-3-0l,gid://shopify/Metaobject/279918936429,fitment_vehicle,,2026-01-31T01:11:28Z,2017,sprinter,3.0L,,,"{""year"": ""2017"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""3.0L"", ""display_name"": ""2017 Sprinter 3.0L""}"
2018 Chevrolet 2.8L Duramax LWN,2018-chevrolet-2-8l-duramax-lwn,gid://shopify/Metaobject/279912710509,fitment_vehicle,,2026-01-31T01:09:41Z,2018,chevrolet,2.8L,duramax,LWN,"{""year"": ""2018"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2018 Chevrolet 2.8L Duramax LWN""}"
2018 Chevrolet 6.6L Duramax L5P,2018-chevrolet-6-6l-duramax-l5p,gid://shopify/Metaobject/279913759085,fitment_vehicle,,2026-01-31T01:09:59Z,2018,chevrolet,6.6L,duramax,L5P,"{""year"": ""2018"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax L5P"", ""display_name"": ""2018 Chevrolet 6.6L Duramax L5P""}"
2018 Ford 3.0L Powerstroke,2018-ford-3-0l-powerstroke,gid://shopify/Metaobject/279916478829,fitment_vehicle,,2026-01-31T01:10:46Z,2018,ford,3.0L,powerstroke,,"{""year"": ""2018"", ""make"": ""Ford"", ""model"": """", ""engine"": ""3.0L Powerstroke"", ""display_name"": ""2018 Ford 3.0L Powerstroke""}"
2018 Ford 6.7L Powerstroke,2018-ford-6-7l-powerstroke,gid://shopify/Metaobject/279913365869,fitment_vehicle,,2026-01-31T01:09:52Z,2018,ford,6.7L,powerstroke,,"{""year"": ""2018"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.7L Powerstroke"", ""display_name"": ""2018 Ford 6.7L Powerstroke""}"
2018 GMC 2.8L Duramax LWN,2018-gmc-2-8l-duramax-lwn,gid://shopify/Metaobject/279914119533,fitment_vehicle,,2026-01-31T01:10:05Z,2018,gmc,2.8L,duramax,LWN,"{""year"": ""2018"", ""make"": ""GMC"", ""model"": """", ""engine"": ""2.8L Duramax LWN"", ""display_name"": ""2018 GMC 2.8L Duramax LWN""}"
2018 GMC 6.6L Duramax L5P,2018-gmc-6-6l-duramax-l5p,gid://shopify/Metaobject/279913791853,fitment_vehicle,,2026-01-31T01:10:00Z,2018,gmc,6.6L,duramax,L5P,"{""year"": ""2018"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax L5P"", ""display_name"": ""2018 GMC 6.6L Duramax L5P""}"
2018 Jeep Wrangler JL 3.0L EcoDiesel,2018-jeep-wrangler-jl-3-0l-ecodiesel,gid://shopify/Metaobject/279920181613,fitment_vehicle,,2026-01-31T01:11:49Z,2018,jeep,3.0L,ecodiesel,JL,"{""year"": ""2018"", ""make"": ""Jeep"", ""model"": ""Wrangler JL"", ""engine"": ""3.0L EcoDiesel"", ""display_name"": ""2018 Jeep Wrangler JL 3.0L EcoDiesel""}"
2018 Nissan Titan XD 5.0L Cummins,2018-nissan-titan-xd-5-0l-cummins,gid://shopify/Metaobject/279914316141,fitment_vehicle,,2026-01-31T01:10:09Z,2018,nissan,5.0L,cummins,TITAN,"{""year"": ""2018"", ""make"": ""Nissan"", ""model"": ""Titan XD"", ""engine"": ""5.0L Cummins"", ""display_name"": ""2018 Nissan Titan XD 5.0L Cummins""}"
