fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
2001 Chevrolet 6.6L Duramax LB7,2001-chevrolet-6-6l-duramax-lb7,gid://shopify/Metaobject/279910875501,fitment_vehicle,,2026-01-31T01:09:10Z,2001,chevrolet,6.6L,duramax,LB7,"{""year"": ""2001"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2001 Chevrolet 6.6L Duramax LB7""}"
2001 Ford 7.3L Powerstroke,2001-ford-7-3l-powerstroke,gid://shopify/Metaobject/279913955693,fitment_vehicle,,2026-01-31T01:10:02Z,2001,ford,7.3L,powerstroke,,"{""year"": ""2001"", ""make"": ""Ford"", ""model"": """", ""engine"": ""7.3L Powerstroke"", ""display_name"": ""2001 Ford 7.3L Powerstroke""}"
2001 GMC 6.6L Duramax LB7,2001-gmc-6-6l-duramax-lb7,gid://shopify/Metaobject/279910908269,fitment_vehicle,,2026-01-31T01:09:10Z,2001,gmc,6.6L,duramax,LB7,"{""year"": ""2001"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2001 GMC 6.6L Duramax LB7""}"
2001 Dodge/Ram 5.9L Cummins,2001-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911530861,fitment_vehicle,,2026-01-31T01:09:21Z,2001,ram,5.9L,cummins,,"{""year"": ""2001"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2001 Dodge/Ram 5.9L Cummins""}"
2001 Sprinter 2.7L,2001-sprinter-2-7l,gid://shopify/Metaobject/279917724013,fitment_vehicle,,2026-01-31T01:11:07Z,2001,sprinter,2.7L,,,"{""year"": ""2001"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.7L"", ""display_name"": ""2001 Sprinter 2.7L""}"
2001 Volkswagen 1.6L TDI,2001-volkswagen-1-6l-tdi,gid://shopify/Metaobject/279916052845,fitment_vehicle,,2026-01-31T01:10:39Z,2001,volkswagen,1.6L,,TDI,"{""year"": ""2001"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""1.6L TDI"", ""display_name"": ""2001 Volkswagen 1.6L TDI""}"
2002 Chevrolet 6.6L Duramax LB7,2002-chevrolet-6-6l-duramax-lb7,gid://shopify/Metaobject/279910941037,fitment_vehicle,,2026-01-31T01:09:11Z,2002,chevrolet,6.6L,duramax,LB7,"{""year"": ""2002"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2002 Chevrolet 6.6L Duramax LB7""}"
2002 Ford 7.3L Powerstroke,2002-ford-7-3l-powerstroke,gid://shopify/Metaobject/279913988461,fitment_vehicle,,2026-01-31T01:10:03Z,2002,ford,7.3L,powerstroke,,"{""year"": ""2002"", ""make"": ""Ford"", ""model"": """", ""engine"": ""7.3L Powerstroke"", ""display_name"": ""2002 Ford 7.3L Powerstroke""}"
2002 GMC 6.6L Duramax LB7,2002-gmc-6-6l-duramax-lb7,gid://shopify/Metaobject/279910973805,fitment_vehicle,,2026-01-31T01:09:11Z,2002,gmc,6.6L,duramax,LB7,"{""year"": ""2002"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2002 GMC 6.6L Duramax LB7""}"
2002 Dodge/Ram 5.9L Cummins,2002-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911563629,fitment_vehicle,,2026-01-31T01:09:22Z,2002,ram,5.9L,cummins,,"{""year"": ""2002"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2002 Dodge/Ram 5.9L Cummins""}"
2002 Sprinter 2.7L,2002-sprinter-2-7l,gid://shopify/Metaobject/279917756781,fitment_vehicle,,2026-01-31T01:11:08Z,2002,sprinter,2.7L,,,"{""year"": ""2002"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.7L"", ""display_name"": ""2002 Sprinter 2.7L""}"
