f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
Banks Power,PPPWD,,10.00%,,,,,
*Banks Price Code A,Banks ,27.78%,,$25k nets free freight,,,,
*Banks Price Code B,Banks,22.22%,,,,,,
*Banks Price Code C,Banks,11.11%,,,,,,
*Banks Price Code D,Banks,5.55%,,,,,,
*Banks Price Code F,Banks,17.78%,,,,,,
*Banks Price Code G,Banks,27.78%,,,,,,
*Banks Price Code H,Banks,22.22%,,,,,,
*Banks Price Code A,Premier,27.78%,,,,,,
*Banks Price Code B,Premier,27.78%,,,,,,
*Banks Price Code C,Premier,-6.67%,,,,,,
*Banks Price Code D,Premier,-11.11%,,,,,,
*Banks Price Code F,Premier,27.78%,,,,,,
*Banks Price Code G,Premier,20.00%,,,,,,
*Banks Price Code H,Premier,6.67%,,,,,,
*Banks,XDP,24.50%,,,,,,
*Banks Price Code A,Meyer Distributing,24.44%,,,,,,
*Banks Price Code B,Meyer Distributing,24.44%,,,,,,
*Banks Price Code F,Meyer Distributing,24.44%,,,,,,
*Banks Price Code G,Meyer Distributing,24.44%,,,,,,
*Banks Price Code H,Meyer Distributing,7.41%,,,,,,
*Banks Price Code A,Turn 14,24.44%,,,,,,
*Banks Price Code B,Turn 14,22.22%,,,,,,
*Banks Price Code F,Turn 14,22.22%,,,,,,
*Banks Price Code G,Turn 14,22.22%,,,,,,
*Banks Price Code H,Turn 14,9.56%,,,,,,
Bartact,Bartact / Trek Armor,26.00%,10.00%,,,,,
BBi Injectors,Smarty Resource,11.55%,0.00%,,,,,
,Premier,18.80%,,,,,,
,Glacier Diesel Power,,,,,,,
*BBi Injectors - OEM Replacement,,17.53%,0.00%,,,,,
BD-Power,BD-Power ,,,$8.00 D.S. fee up to $300.00 min order value and then 2.75% over $300.00 if using your shipping account,,,,
*BD Price Code A,BD-Power ,30.89%,15.00%,Jobber- 29%,BD will defer cores for 60 days on stock orders,,,
*BD Price Code C,BD-Power ,Varies,15.00%,,"If purchase four transmissions at a time, would receive additional 5% discount",,,
*BD Price Code D,BD-Power ,26.28%,15.00%,Jobber - 20%,,,,
*BD Price Code E,BD-Power ,27.25%,15.00%,Jobber - 25%,,,,
*BD Price Code G,BD-Power ,30.89%,15.00%,Jobber - 20%,,,,
*BD Price Code I,,,,Jobber- 29%,,,,
*BD Price Code J,BD-Power ,Varies,15.00%,,,,,
*BD Price Code P,,30.89%,15.00%,Jobber- 29%,,,,
*BD Price Code Z,,30.89%,15.00%,Jobber- 29%,,,,
*BD from Premier - Price Level A,,22.40%,,(20% Back of Jobber),,,,
*BD from Premier - Price Level B,,17.55%,,(15% Back of Jobber),,,,
*BD from XDP,,18.00%,,,,,,
*BD from Keystone,,20.46%,,,,,,
*BD Price Code B,,25% off Jobber,,,,,,
*BD Price Code C,,Varies,,,,,,
*BD Price Code D,,20% off Jobber,,,,,,
*BD Price Code E,,25.00%,,,,,,
*BD Price Code G,,20.00%,,,,,,
,A1 Distributing,,,,,,,
BDS Suspension,BDS Suspension,40.00%,25.00%,MAP=JOBBER (MSRP = Jobber *1.0525) | MAP=RETAIL-5% / FOX COST=JOBBER-20%,"Free shipping on orders over $750 except those orders that require a lift gate, then a $50 fee is charged",,,
Beans Diesel Performance,Beans Diesel Performance (Drop Ships),32.50%,,,,,,
,Beans Diesel Performance (Stock Orders),37.50%,,"$5,000 minimum nets free freight (Plus extra 5% discount)",,,,
Belltech,Turn 14,23.00%,,,,,,
Bestop,TransAmerican,21.24%,5.00%,,,,,
Big 7 Battery Cable Kits,Big 7 Cables,30.00%,,,,,,
Bilstein,Meyer Distributing,30.20%,10.00%,,,,,
,Premier,34.08%,,,,,,
,Turn 14,30.00%,,$20k = +5% and Free Freight,,,,
,XDP,26.90%,,,,,,
,A1 Distributing,,,,,,,
Black Onyx,DPPI,,,,,,,
*Black Onyx 6.0L Head Gasket,,48.96%,20.00%,,,,,
*Black Onyx 6.0L Complete Gasket Set,,18.75%,5.00%,,,,,
Black Rhino Wheels,TSW Wheels,25.00%,,MAP = 20% back of Retail | Terms - Pay by Credit Card at end of month,,,,
,Turn 14,25.00%,,,,,,
Blend Door USA,Blend Door USA,26.00%,,15% on dropships,,,,
BMC Lights,BMC Lights,30.00%,,,,,,
Borgeson,Peak Diesel Performance,,,,,,,
*Borgeson Shafts,,26.60%,10.00%,,,,,
*Borgeson Boxes,,16.50%,0.00%,,,,,
*Borgeson Upgrade Kits,,20.00%,5.00%,,,,,
*Borgeson (all),XDP,15.00%,,,,,,
,Keystone,,,,,,,
*Borgeson Shafts,,31.39%,,,,,,
*Borgeson Dodge Box,,14.62%,,,,,,
*Borgeson Power Steering Pump,,26.82%,,,,,,
BorgWarner,,,,,,,,
*BorgWarner EFR,Industrial Injection,33.33%,10.00%,,,,,
*BorgWarner EFR,SE Power Systems,25.00%,10.00%,,,,,
,,,,,,,,
Bosch,Power Distributing,,,,,,,
,Bosch,25.00%,,"Primary Cost Listed as D40 which is the 25% margin. We also receive a 2% in lieu of warranty discount and a 4% in lieu of stock adjustment discount. There is also a bundling discount: 2% for stocking engine management, including O2 and fuel pumps + wipers. 3% for stocking the above + brakes. 4% for stocking the above + rotating electrical or filters. Discounts are chained.  As an example, a $10 part less the 2%, 4%, and 4% results in an invoice cost of $9.03.",,,,
*Bosch Brakes,Bosch,,,"$2500 FOB Freight. 3% in lieu of warranty, a 4.5% marketing discount, a 2.5% loyalty program discount, and a 4% in lieu of stock adjustment discount.  On a $10 pad it would be $10 less the 3%, less the 4.5%, less the 2.5%, less the 4%, resulting in a price of $8.67.",,,,
*Bosch Stock 503 Diesel Injectors 03-04 5.9L Dodge Cummins,,25.00%,10.00%,,,,,
*Bosch Stock 505 Injectors 2004.5-07 5.9L Dodge Cummins,,25.00%,10.00%,,,,,
*Bosch Stock Injectors 07.5-12 6.7L Dodge Cummins,,25.00%,10.00%,,,,,
*Bosch Stock Injectors 07.5-12 6.7L Cab Chassis (Non-P/U),,35.00%,20.00%,,,,,
