f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
Emmrod,Emmrod,30.00%,,40% on stock order of 20 poles ,,,,
Expedition One,Expedition One,35.00%,,Must purchase six bumpers at a time to net 35% discount and free freight,,,,
EZ LYNK,PPEI,23.09%,10.00%,,,,,
,Premier,,,1-23 = $439 / 24-120 = $419 / $124+ = $399,,,,
Fab Fours,Keystone,21% or 27.2%,,either 14% or 20% back of Jobber (not adding anything at the lower margin),,,,
Fabtech Suspension,Keystone,,,,,,,
Factor 55,Factor 55,33.50%,5.00%,50% off MSRP,,,,
,A1 Distributing,,,,,,,
Factory Aftermarket,Factory Aftermarket,20.00%,,Must use DPP24 as coupon code,,,,
Fairchild Industries,XDP,25.00%,,,,,,
,Fairchild,31.00%,,,,,,
FASS Fuel Systems,PPPWD/Thunder/DPPI/Turn 14/XDP,,,Reseller MUST be registered with FASS before we can sell to them at a discount,,,,
*FASS from XDP,,18.40%,*see note,,,,,
*FASS from Turn 14,,18.40%,*see note,"Free Freight, must make note on PO to switch shipping from collect to calculated",,,,
*FASS Direct,,31.60%,*see note,$10k Stock Orders for free freight / Sell to resellers at reseller MAP,,,,
Fast Coolers,Fast Coolers,,,,,,,
*Fast Coolers Dual Kit,,40.83%,,,,,,
*Fast Coolers Dual Cover Kit,,40.68%,,,,,,
*Fast Coolers G56 Kit,,26.67%,,,,,,
*Fast Coolers Filter Kit,,35.90%,,,,,,
Fleece,Fleece,25.00%,10.00%,"Extra 5% and free freight for $30k stock order (calculated as WD *0.95, so its not an ""exact"" 30%)",,,,
,A1 Distributing,,,,,,,
Flex-A-Lite,Flex-A-Lite,25.00%,0.00%,We purchase at WD-10%.  Line has no MAP / Minimum order is $10 / Pre-paid freight is $3000 / $20 Dropship Fee + 5% surcharge on all invoices,,,,
,XDP,15.00%,,best deal w/ pre-paid freight included,,,,
FLO~PRO Exhaust,Jobbers Exhaust,25.00%,10.00%,On products without MAP,We receive credit of 5% each month for FLO~PRO sales from Thunder,,,
,,25-34%,10.00%,On products with MAP,,,,
,,,,"ID's 10084, 10085, 10086, 13726, 15326, 16453 are oversized and priced at $50 over MAP",,,,
Fluidampr,PPPWD,15.00%,0.00%,,,,,
,Turn 14,20.00%,0.00%,22% back of jobber plus free freight,,,,
,XDP,15.00%,,,,,,
,Meyer,23.00%,,Free Freight,,,,
Fluidyne,Randy's Transmission,30%,,,,,,
Ford Motor Company,Factory Motor Parts,,,,,,,
*Ford Motor Company AIS,Factory Motor Parts,27.78%,10.00%,,,,,
*Ford Motor Company 6.0L Oil Cooler,Lake City Ford,25.00%,15.00%,,,,,
*Ford Motor Company Blue Spring Upgrade Kit,Lake City Ford,20.73%,10.00%,,,,,
*Ford Motor Company Emissions Related,,25.00%,10.00%,,,,,
*Ford Motor Company Factory 6.7L Turbo,,25.00%,10.00%,,,,,
Fox Racing Shocks,Fox,30.00%,15.00%,,,,,
,Meyer,30.00%,,,,,,
,Premier ,30.00%,15.00%,,,,,
,Keystone,28.00%,15.00%,,,,,
,XDP,28.00%,,,,,,
,Poly Performance,25.00%,15.00%,,,,,
,Turn 14,30.00%,,,,,,
,Sport Truck USA,30.00%,,$5 Dropship Fee,,,,
*Fox Reservoir Mounting Clamps 803-02-044,Premier,21.20%,10.00%,,,,,
Frantz Oil Filters,Hot Shot's Secret,40.00%,,,,,,
Fuel Bomb,,58.55%,,12 pack = 20% discount (with free shipping) / 24 pack = 25% discount (with free shipping),,,,
Fuelab,Premier,26.40%,10.00%,,,,,
*Fuelab from XDP,XDP,27.00%,,,,,,
*Fuelab from Turn 14,Turn 14,26.43%,,,,,,
Full Send Diesel (ALL),Full Send OR DPP,30.00%,15.00%,,,,,
Full Travel Bags,Full Travel Bags,,,,,,,
,8-12 Kits / Month,20.00%,,,,,,
,13+ Kits / Month,25.00%,,,,,,
Fumoto Engineering,Fumoto Engineering,39.36%,15.00%,,,,,
Garrett,Performance Turbochargers,,,$6500 Pre-Paid Freight on Stock Orders from Turbo Resource,,,,
*Garrett Turbos,Performance Turbochargers,20.00%,,,,,,
*Garrett Small Parts,Performance Turbochargers,25.00%,,,,,,
Gator Fasteners,Gator Fasteners,30.00%,,Most items ,,,,
,Gator Fasteners,25.00%,,Main Stud Kits,,,,
,Gator Fasteners,20.00%,,Specialty Items,,,,
Gear Box Z,Thunder,35.00%,,,,,,
,,,,,,,,
Gearhead Automotive,Gearhead Automotive,,,,,,,
*Gearhead Hydra Chip,,25.00%,10.00%,,,,,
*Gearhead SCT X4 - 6.0L,,32.93%,15.00%,,,,,
*Gearhead CTS2 - 6.0L,,16.00%,0.00%,,,,,
*Gearjead SCT  X4 - 6.4L,,30.62%,10.00%,,,,,
*Gearhead SCT LiveWire - 6.4L,,30.48%,10.00%,,,,,
,,,,,,,,
Gen-Y Hitch,Gen-Y Hitch,25.00%,,"Dropshipping, we get 25%, more available with stock orders",,,,
,A1 Distributing,,,,,,,
Generic Race Parts (GRP),,,,,,,,
*GRP-EGRD-6.0PS,,55.70%,25.00%,,,,,
*GRP-EGRD-B-6.0PS,,46.90%,25.00%,,,,,
*GRP-EGRD-6.4PS,,53.98%,25.00%,,,,,
*GRP-EGRD-6.7PS,,40.61%,20.00%,,,,,
*GRP-EGRD-6.7CMNS-07,,40.61%,20.00%,,,,,
*GRP-EGRD-6.7CMNS-09,,43.41%,20.00%,,,,,
*GRP-COOLFIL-6.0PS,,21.57%,5.00%,,,,,
*GRP-SUMP,,40.65%,20.00%,,,,,
*GRP-SLEEVE-01GM,,46.66%,25.00%,,,,,
*GRP-RESPLUG-04510,,30.64%,10.00%,,,,,
*GRP-PCVPLUG-04510,,39.85%,20.00%,,,,,
*GRP-PVCRR-04510,,36.76%,15.00%,,,,,
*GRP-64ELBOW,,34.48%,15.00%,,,,,
*GRP-EGRD-6.7CMNS-13-RR,,43.57%,15.00%,,,,,
*GRP-FBD-DMAX,,28.57%,5.00%,,,,,
*GRP-COOLFIL-6.4PS,,29.50%,15.00%,,,,,
*GRP-WIFPLUG,,41.88%,20.00%,"cost is $16 per, but $14.50 ordering 12 at a time",,,,
,,,,,,,,
Genright,Genright,10.00%,,Account is under OPP,,,,
,,,,,,,,
Glacier Diesel Power,Glacier Diesel Power,30.00%,,,,,,
,,,,,,,,
GM OEM Parts,Dave Smith,,,,,,,
*GM 15283013,,33.00%,15.00%,,,,,
*GM 22887212,,33.00%,15.00%,,,,,
*GM 15876232,,33.00%,15.00%,,,,,
*GM 15876233,,33.00%,15.00%,,,,,
*GM 15909021,,33.00%,15.00%,,,,,
*GM 15909020,,33.00%,15.00%,,,,,
*GM 22799974,,33.00%,15.00%,,,,,
*GM 12639421,,33.00%,15.00%,,,,,
*GM 98025695,,33.00%,15.00%,,,,,
*GM 12643238,,33.00%,15.00%,,,,,
*GM 12598445,,33.00%,15.00%,,,,,
*GM 12630257,,31.98%,15.00%,,,,,
,,,,,,,,
Grabars,Grabars/Welcome Distr,20.00%,5.00%,,,,,
Grand Rock,Grand Rock,35.00%,10.00%,**Add $20 Service Charge for Every Drop Ship,,,,
,XDP,15.00%,,"15% back from their selling price, which we should be close to.  Send orders of $350 or less to XDP for the best price",,,,
Grizzly Products,Performance Turbochargers,35.00%,,no MAP,,,,
GSP,GSP,20.00%,,$2200 pre-paid freight stock order,,,,
H&S Motorsports,H&S,,,,,,,
*H&S Motorsports Fuel Rail Plug,,50.00%,25.00%,,,,,
*H&S Motorsports Shim Kit,,46.67%,25.00%,,,,,
*H&S Motorsports Factory EGT Solution,,49.28%,25.00%,,,,,
*H&S Motorsports Fuel Filter Conversion,,33.56%,15.00%,,,,,
*H&S Motorsports 6.4L Wastegate Kit,,43.80%,20.00%,,,,,
*H&S Motorsports Dual CP3 Kit  WITH CP3(6.6L and 6.7L PS),,30.00%,15.00%,,,,,
*H&S Motorsports Dual CP3 Kit  WITHOUT CP3(6.6L and 6.7L PS),,30.00%,15.00%,,,,,
*H&S Motorsports 6.7L Powerstroke Intercooler Pipe Upgrade,,28.09%,10.00%,,,,,
*H&S Motorsports 6.7L Powerstroke Intercooler Pipe Upgrade (OEM Replacement),,26.93%,10.00%,,,,,
*H&S Motorsports Stroker CP3 (Cummins),,29.46%,15.00%,,,,,
*H&S Motorsports Intake Manifold,,38.00%,20.00%,,,,,
*H&S Motorsports Single Turbo Kit (With Turbo) 6.4L PS,,24.25%,10.00%,,,,,
*H&S Motorsports Single Turbo Kit (Without Turbo) 6.4L PS,,29.43%,15.00%,,,,,
*H&S Motorsports Single Turbo Kit (With Turbo) 6.7L PS,,22.47%,10.00%,,,,,
*H&S Motorsports Single Turbo Kit (Without Turbo) 6.7L PS,,23.20%,10.00%,,,,,
*H&S Motorsports Billet Turbo,,22.93%,10.00%,,,,,
*H&S Motorsports Low Fuel Pressure Upgrade 6.7L PS,,26.94%,10.00%,,,,,
Hamilton Cams,Hamilton,,,$20 Dropship Fee,,,,
*Hamilton Springs,,26.00%,10.00%,,,,,
*Hamilton Cummins Pushrods,,24.14%,10.00%,,,,,
*Hamilton Flat Tappet Conversion,,21.37%,10.00%,,,,,
Hardway Performance,Hardway Performance,,,,,,,
*Hardway Performance 10-15 Cummins AutoCal,,31.61%,,Reseller Cost:  $749.00,,,,
*Hardway Performance 06-09 Cummins AutoCal,,29.03%,,Reseller Cost:  $539.00,,,,
*Hardway Performance CSP5 Switch,,35.00%,,Reseller Cost:  $75.00,,,,
Harland Sharp,Harland Sharp,17.78%,0.00%,,,,,
Hawk Performance,Premier,28.24%,,,,,,
,Turn 14,42.22%,,,,,,
,Keystone,43.55%,,,,,,
,,,,,,,,
Heatshield Products,PPPWD,,,,,,,
*Heat Shield Lava Turbo Shield,,20.00%,0.00%,,,,,
*Heat Shield Standard Turbo Shield,,20.00%,0.00%,,,,,
*Heat Shield Inferno Heat Wrap,,20.00%,0.00%,,,,,
Hellwig,,,,,,,,
,Hellwig,26.67%,10.00%,30% Back of Jobber,,,,
,Meyer Distributing,,,25% Back of Jobber,,,,
High Tech Turbo,High Tech Turbo,24.44%,,,,,,
Highway Products,,,,,,,,
*Highway Products Gull Wing Tool Box - Polished,Highway Products,28.91%,,,,,,
*Highway Products Gull Wing Tool Box - Black,Highway Products,25.07%,,,,,,
*Highway Products Bed Rails,Highway Products,25.52%,,,,,,
*Highway Products Honeycomb Headache Rack - Polished,Highway Products,42.50%,,,,,,
*Highway Products Honeycomb Headache Rack - Black,Highway Products,32.14%,,,,,,
*Highway Products Honeycomb Headache Rack - Shaved Black,Highway Products,33.12%,,,,,,
*Highway Products,Meyer Distributing,10.80%,,"They seem to stock quite a bit, where HPI is always backordered.  $100 flat rate shipping if delivered within Meyer Delivery Network",,,,
Holders Diesel,Holders Diesel,20.00%,,,,,,
Holset,Performance Turbochargers,20.00%,,,,,,
Hot Shot's Secret,,,,$2500 Free Freight,,,,
*Hot Shot's Fuel Additives,Lubrication Specialties / Hot Shot's,40%,,,,,,
*Hot Shot's Oils,Lubrication Specialties / Hot Shot's,30%,,,,,,
HPS Performance Products,HPS Performance Products,26.32%,,30% back of MSRP,,,,
HUBB Oil Filters,PPPWD,23.84%,5.00%,,,,,
Hushpower,Holley,20.20%,5.00%,,,,,
Hypertech,PPPWD,20.80%,,,,,,
Husky,Husky (Real Truck),40-42%,,,,,,
,Meyer Distributing,20.80%,,,,,,
,XDP,15.00%,,"with free shipping, XDP is best price",,,,
ICON Vehicle Dynamics,ICON Vehicle Dynamics,30.00%,15.00%,,,,,
,Turn 14,25.00%,,,,,,
,A1 Distributing,,,,,,,
*ICON Vehicle Dynamics Shocks,Meyer Distributing,15.00%,,,,,,
*ICON Vehicle Dynamics Non-Shocks,Meyer Distributing,25.00%,,,,,,
ICON Alloys Wheels,ICON Vehicle Dynamics,35.00%,,,,,,
IHI 6.5L Turbo,DPPI,31.43%,15.00%,,,,,
Industrial Injection,Industrial Injection/PPPWD/Turn 14,,,Stock Order,Industrial Injection will defer cores for 90 days on stock orders of SE injectors,,,
*Industrial Injection Cummins Silver Bullet Turbos,,30.00%,15.00%,,,,,
*Industrial Injection PhatShaft-PS6280,,30.11%,15.00%,,,,,
*Industrial Injection LLY Silver Bullet Kit,,22.95%,5.00%,,,,,
*Industrial Injection PhatShaft,,24.25%,10.00%,,,,,
*Industrial Injectino S467 2nd Gen Turbo Kit for 3rd and 4th Gens,,18.70%,5.00%,,,,,
*Industrial Injection 6.4L Phatshaft 71mm / 58mm,,15.83%,0.00%,,,,,
*Industrial Injection HX40DP2,,31.94%,15.00%,,,,,
*Industrial Injection Super PhatShaft,,23.61%,10.00%,,,,,
*Industrial Injection Stock Exchange 505 Remans - Dragon Fly,,24.13%,10.00%,28.80%,,,,
*Industrial Injection Stock Exchange 505 Remans,,24.13%,10.00%,28.83%,,,,
*Industrial Injection 12 Valve Dragon Fly Injectors,,26.67%,10.00%,,,,,
*Industrial Injection POD's,,33.33%,15.00%,38.67%,,,,
*Industrial Injection Nozzles,,28.13%,15.00%,,,,,
*Industrial Injection CP3,,23.00%,10.00%,,,,,
*Industrial Injection Dual CP3 Without Pump (Kit Only),,24.30%,5.00%,,,,,
*Industrial Injection Dual CP3 With Stock Pump,,24.30%,10.00%,,,,,
*Industrial Injection 5.9L Bag of Parts,,27.91%,10.00%,32.56%,,,,
*Industrial Injection 6.7L Bag of Parts,,27.91%,10.00%,,,,,
*Industrial Injection 6.7L Wastegate Kit,,22.56%,10.00%,,,,,
*Industrial Injection 3rd Gen Girdle,,12.98%,0.00%,,,,,
*Industrial Injection Billet Intake Plate 24 Valve,,10.00%,0.00%,,,,,
*Industrial Injection Billet Rear Freeze Plug Kit,,38.79%,20.00%,,,,,
*Industrial Injection 6.0L Injectors,,19.18%,5.00%,,,,,
*Industrial Injection Dual Feed Line,,37.09%,20.00%,,,,,
*Industrial Injection PRV Block Off 03-07 5.9L Cummins,,36.25%,20.00%,42.50%,,,,
*Industrial Injection PRV Block Off 01-04 Duramax,,36.25%,20.00%,42.50%,,,,
*Industrial Injection 12mm Gorilla Girdle,,12.98%,0.00%,,,,,
"*Industrial Injection 0.093"" EDM Connector Tubes",,25.00%,10.00%,,,,,
*Industrial Injection Rack Plug,,35.00%,20.00%,40.00%,,,,
*Industrial Injection Cam Plate,,20.00%,5.00%,,,,,
*Industrial Injection Dragon Flow VP44,,23.40%,10.00%,,,,,
*Industrial Injection 150 lbs. Valve Springs P7100 Pump (DP12v.1),,24.00%,10.00%,28.00%,,,,
*Industrial Injection VE Pump 3200K Gov. Spring Kit,,36.36%,20.00%,40.91%,,,,
*Industrial Injection VE Fuel Pin,,24.44%,10.00%,30.00%,,,,
Injen Evolution Intakes,PPPWD / Turn 14,23.00%,10.00%,,,,,
*Injen Evolution Intakes,Keystone,25.00%,,,,,,
Intakehoses.com,intakehoses.com,25.00%,,,,,,
ISSPRO,ISSPRO,25.00%,10.00%,$10 drop ship fee unless $3500 per month of stock is achieved.,We buy at 7% off WD,,,
J.W. Speaker,Premier,35.00%,22.22%,50% back of MSRP / List,,,,
JKS Manufacturing,BDS Suspension,40.00%,10.00%,"Back of list, but we are selling at 5% below list, which is MAP",,,,
KC HiLiTES,KC HiLiTES,35.00%,10.00%,,,,,
KC Turbos,KC Turbos,25.00%,10.00%,25% on dropshipments/30% on stock orders (KC pays for ground shipping on dropshipments),,,,
Kelderman,Kelderman,25.00%,10.00%,,,,,
Kleinn,Meyer Distributing,23.08%,,,,,,
,XDP,23.00%,,,,,,
,A1 Distributing,,,,,,,
Kryptonite Products,Kryptonite Stock Orders,36.84%,20% below retail,MAP = 5% Off MSRP / Cost is 40% back of MSRP for normal items and 25% back for kits with shocks; dealers must pay 20% below retail; any dealer that buys from us at a discount must be approved here: https://kryptoniteproducts.com/pages/become-a-dealer,,,,
,Kryptonite Dropships,31.58%,,,,,,
,Kryptonite Kits w/ Shocks,21.05%,,,,,,
,Kryptonite Wheel Bearings,21.05%,,,,,,
Leitner,Leitner,20.00%,,,,,,
Lightforce,PPPWD,25.00%,10.00%,,,,,
Longhorn Fab Shop,Longhorn Fab Shop,21.05%,,,,,,
LRB Speed,LRB Speed,20.00%,,,,,,
Mac's,Mac's,25.00%,10.00%,,,,,
MADS Electronics,Wagner & Associates/PPPWD,,,,,,,
*MADS SSR,,31.16%,10.00%,,,,,
*MADS Jr.,,33.54%,15.00%,,,,,
*MADS Sr.,,33.43%,15.00%,,,,,
*MADS S-03,,32.97%,15.00%,,,,,
*MADS Touch,,30.64%,15.00%,,,,,
Mag-Hytec,PPPWD,20.00%,5.00%,,,,,
,Meyer Distributing,20.73%,5.00%,,,,,
,XDP,17.00%,5.00%,"with free shipping, XDP is best price",,,,
,Mag-Hytec,24.21%,,when purchased in quantities of 50+,,,,
Magnaflow Exhaust,PPPWD - Stainless,35.29%,10.00%,,,,,
,PPPWD - Aluminized,25.68%,10.00%,,,,,
,Turn 14,36.47%,20.00%,,,,,
,XDP,13.60%,20.00%,with free shipping.,,,,
,Gorlick's,27.17%,10.00%,,,,,
Mahle,XDP,17.65%,5.00%,,,,,
,Premier,18.00%,,,,,,
,Turn 14,20.04%,,,,,,
,Mahle,30.00%,,"based on purchasing direct and ""Net Invoice Cost"" on Mahle price file",,,,
Mahle Motorsports,South Central Diesel,20.21%,5.00%,,,,,
Manton Pushrods,Manton Pushrods,30.00%,,No MAP,,,,
Maryland Diesel Performance,Maryland Diesel Performance,25.00%,Sell at Jobber,31% on stock orders over $15k w/ Free Freight,,,,
,No Limit Diesel,25.00%,,,,,,
Master Pull,Master Pull,30.00%,10.00%,,,,,
Maxtrac,Meyer Distributing,21.05%,,,,,,
,Premier,21.05%,,,,,,
,Turn 14,21.95%,,,,,,
,Maxtrac Dropshipments,33.68%,,Jobber - 30% - 10% + $5 Dropship Fee,,,,
,Maxtrac Stock Orders,36.84%,,Jobber - 40% with Free Freight ($5k or more),,,,
MaxTrax,Adventure Imports,28.33%,,,,,,
MBRP,XDP/PPPWD/Turn 14,,20.00%,Premier $14.95 Flat Rate Shipping,,,,
,XDP/PPPWD ,29.41%,,XDP includes free shipping | 25% on C Series through XDP | 25% on P Series,,,,
,Turn 14,31.77%,,Free shipping orders over $50 / This discount covers all series except C / C Series is 25%,,,,
,Meyer,31.90%,,,,,,
,Keystone,35.3%/30.25%,,35.3% on Standard Series/30.25% on Net (P/PLM/SLM),,,,
,MBRP (Standard Series),38.53%,,"DPP cost = Jobber - 45%, less another 5%, so take Jobber, multiply by 0.55, then multiply that by 0.95 (plus an extra 5% co-op paid out quarterly)",,,,
,MBRP (P Series),40.00%,,"DPP cost = Net Dealer - 20%; Net Dealer is 25% off MAP, so take Net Dealer, multiply by 0.8 (plus an extra 5% co-op paid out quarterly)",,,,
MCE Flexible Fenders,MCE Flexible Fenders,25.00%,0.00%,,,,,
McGaughy's,McGaughy's,26.30%,,Currently buy at 10% + 30% discount from MSRP,,,,
Mean Green,Mean Green,,,,,,,
*Mean Green Starters,,25.06%,10.00%,,,,,
*Mean Green Alternators,,25.06%,10.00%,,,,,
*Mean Green from XDP,XDP,15.00%,,,,,,
Mechman Alternators,Mechman,30.00%,,"$15 dropship fee / Extra 5% discount on stock orders over $10k. Calculated by taking another 5% off of our cost (MAP*0.7, *0.95)",,,,
Mel's Exhaust,Jobbers,30.00%,,No MAP,,,,
Mercenary Offroad,,,,,,,,
*Mercenary Front Bumper Cost:  $2000,,,,,,,,
*Mercenary Rear Bumper Cost:  $900,,,,,,,,
Merchant Automotive,Merchant,,,,,,,
*Merchant Motor Mounts,,30.00%,15.00%,,,,,
*Merchant T-Case Pump Upgrade - #10001,,31.58%,15.00%,,,,,
*Merchant PCV Re-Route,,29.47%,15.00%,,,,,
*Merchant WIF Plug,,40.00%,15.00%,,,,,
*Merchant T-Case Pump Upgrade Kit - #10057,,26.84%,10.00%,,,,,
*Merchant Water Pump,,24.21%,10.00%,,,,,
*Merchant Pushrod Kit,,28.22%,15.00%,,,,,
*Merchant Trans Housing Support,,46.88%,20.00%,,,,,
*Merchant Fuel Filter Head Rebuild Kit,,45.92%,20.00%,,,,,
*Merchant T-Case Upgrade with Drain Plug - #10381,,31.57%,15.00%,,,,,
*Merchant T-Case #10604,,15.00%,0.00%,,,,,
*Mercchant T-Case Pump Upgrade - #10614,,29.23%,15.00%,,,,,
*Merchant LB7 Fuel Injector - #10801 / 10801-8,,10.35%,0.00%,,,,,
*Merchant LB7 Fuel Injector + Small Install Kit - #10802,,13.55%,0.00%,,,,,
*Merchant LB7 Fuel Injector + Full Install Kit - #10803,,12.19%,0.00%,,,,,
Method Race Wheels,Method Race Wheels,30.00%,,30% back of MSRP,,,,
Mevotech,,,,,,,,
,Mevotech,30.00%,,If based on XDP selling prices since there's no MAP,,,,
,XDP,15.00%,,Plus 3% quarterly rebate; 15% includes $5.95 Dropship fee,,,,
Mile Marker,Mile Marker,20.00%,5.00%,,,,,
Mishimoto,Mishimoto,28.00%,,"If annual sales reach $650k, we are eligible for a 2% rebate on all purchases",,,,
Moog,XDP,26.32%,,,,,,
,Keystone,26.00%,,44.7% back of Jobber,,,,
,Turn 14,33.00%,,,,,,
Mopar,,,,,,,,
*Mopar,Bill Marsh,25.00%,5.00%,,,,,
Morimoto,,,,,,,,
*Morimoto from Keystone,,,,,,,,
Motor Ops,,20.00%,,,,,,
Mumau,,,,,,,,
*Mumau DPP 9mm Crush Sleeve Adapter,,21.79%,5.00%,,,,,
N-Fab,N-Fab,33.50%,,Net 30 terms with $15K credit Limit and 30% + 5% off Jobber,,,,
Nemesis Industries,Nemesis Industries,25.00%,,,,,,
Nitro Gear & Axle,Nitro Gear & Axle / DPI,25-40%,15.00%,,,,,
Nitrous Express,PPPWD,14.77%,0.00%,,,,,
No Limit Fabrication,No Limit Fabrication,25.00%,,Free Ground Shipping,,,,
NRS Brakes,NRS Brakes,63-75%,,"No dropshipping, $3500 prepaid freight",,,,
Off Camber Fabrications,PPPWD,29.40%,15.00%,,,,,
Off-Road Vixens,,50.00%,20.00%,,,,,
Optitorque,,,,,,,,
*Opitorque from XDP,XDP,15.00%,,,,,,
*Opitorque from Optitorque,Optitorque,28.00%,,$10 Dropship fee,,,,
Oracle,Turn 14,,,,,,,
Outback Adventure Products,Outback Adventure Products,,,,,,,
*Outback Adventure Products Trailgater with Bamboo,,27.66%,10.00%,,,,,
*Outback Adventure Products Trailgater with Sanalite,,27.09%,10.00%,,,,,
PacBrake,,,,,,,,
,PacBrake,28-39%,,,,,,
,PPPWD,21.78%,10.00%,,,,,
,Meyer,25.00%,,,,,,
,XDP,25.00%,10.00%,,,,,
,DPPI,26.80%,,,,,,
Paramount,Paramount,29.00%,,We purchase at 40% back of Jobber,,,,
,,,,,,,,
Peak Diesel Performance,Peak Diesel Performance,,,,,,,
*Peak 3K GSK,,38.10%,15.00%,,,,,
*Peak 4K GSK w/ HD Exh. Springs,,31.56%,15.00%,,,,,
*Peak Breather Kit,,25.00%,10.00%,,,,,
*Peak KDP Repair Kit,,23.33%,10.00%,,,,,
*Peak Delivery Valve Socket,,25.00%,10.00%,,,,,
*Peak Delivery Valves,,21.81%,5.00%,,,,,
*Peak Rack Plug,,43.01%,15.00%,,,,,
*Peak AFC Spring,,20.00%,5.00%,,,,,
Performance Custom Cables,Performance Custom Cables,20.00%,,with free dropshipping,,,,
*Performance Custom Cables Stock Order,,30.00%,,,,,,
Performance Diesel Inc.,PPPWD/Industrial Injection,,,,,,,
*PDI 3467CR,,18.58%,0.00%,,,,,
*PDI 3466CR,,30.97%,15.00%,,,,,
*PDI 346312V,,30.97%,15.00%,,,,,
*PDI 346312VC,,17.76%,0.00%,,,,,
*PDI 346512WF,,25.18%,10.00%,,,,,
*PDI 346424V,,30.97%,15.00%,,,,,
PMF Suspension,PMF Suspension,25.00%,10.00%,"25% off all in-house components; 15-20% off shocks, big brake kits, and other vendor supplied components",,,,
PML Covers,PML Covers,,,,,,,
Power Driven Diesel,Power Driven Diesel Dropships,20.00%,,dropships over $99 ship for free,,,,
,Power Driven Diesel Stock Orders,30.00%,,,,,,
"Power Performance Enterprises, Inc. (Kory Willis EFI)",PPEI,,,,,,,
*PPEI Level 1,,25.87%,10.00%,,,,,
*PPEI Level 2,,30.72%,10.00%,,,,,
*PPEI Level 3,,24.31%,10.00%,,,,,
*PPEI 10-15 Cummins,,21.61%,10.00%,Cost is $780,,,,
*PPEI 68RFE Trans Tuning,,33.44%,10.00%,Cost is $199,,,,
*PPEI EcoDiesel Tuning,,29.45%,15.00%,Cost is $599,,,,
Powermaster,Powermaster,28.00%,,We buy at 30% back of Jobber | $15 Dropship Fee,,,,
*Powermaster from Keystone,Keystone,,,20% back of Jobber,,,,
Powerstop,Turn 14,,,40% back of Jobber is cost (No MAP),,,,
PPE,PPE,,,From PPE: Dealer Cost on Dropships / WD Price on Stock Orders >$15k,,,,
*PPE Stock Orders,PPE,30.00%,,,,,,
*PPE Dropshipments,PPE,20.00%,,,,,,
*PPE from XDP,XDP,16.67%,,,,,,
*PPE from Premier,Premier,12.00%,,,,,,
Pro Comp Suspension,PPPWD,27.31%,0.00%,,,,,
Pro Eagle Floor Jacks,,Varies,,Standard jacks = 32.33% / Big wheel = 27% / Accessories vary,,,,
Proforged,QA1,26.30%,,,,,,
Prothane,Turn 14,30.00%,,"we buy at 30% back of Jobber, there's no MAP, setting price to Jobber",,,,
PSC,Meyer,19.50%,,,,,,
,Premier,19.50%,,,,,,
,XDP,17.60%,,,,,,
,PSC,25.00%,,,,,,
Pure Performance,Pure Performance,32-35%,15.00%,30+10+5,,,,
PureFlow Technologies,PPPWD/XDP,,,,,,,
*PureFlow Raptor,,24.50%,10.00%,"XDP same discount as Premier, but shipping is included",,,,
*PureFlow Service Indicator Light,,27.19%,10.00%,"XDP same discount as Premier, but shipping is included",,,,
*PureFlow Dodge Direct Replacement,,24.50%,10.00%,"XDP same discount as Premier, but shipping is included",,,,
*PureFlow AirDog II,,24.50%,10.00%,"XDP same discount as Premier, but shipping is included",,,,
*PureFlow Original AirDog,,24.64%,15.00%,"XDP same discount as Premier, but shipping is included",,,,
*Pureflow HPFP,,23.16%,10.00%,"XDP same discount as Premier, but shipping is included",,,,
*Pureflow from Pureflow,,30.60%,21.70%,Must sell at reseller discount level (21.7% discount),,,,
RaceME,,,,Free Ground Shipping,,,,
*RaceME,Thunder,30.00%,15.00%,,,,,
*RaceME PRO,Thunder,30.47%,15.00%,,,,,
*RaceME ULTRA,Thunder,30.65%,15.00%,,,,,
*RaceME,Thoroughbred,33.26%,,,,,,
*RaceME PRO,Thoroughbred,31.76%,,,,,,
*RaceME ULTRA,Thoroughbred,33.29%,,,,,,
Race Sport Lighting,Race Sport Lighting,25-40%,15.00%,"No unilateral discount, it varies without even numbers. 15% off is pretty safe as most things come in around 38%",,,,
,A1 Distributing,,,,,,,
Radflo,Radflo,30.00%,,,,,,
Rad Straps,Rad Straps,n/a,,"Haven't setup an account, but here's their response when I checked on dealer programs: ""What we can do for 10 Rad Deals is a 15% discount on the entire order, with 20 or more Rad Deals, we can do a 20% discount on the entire order!""",,,,
Ranch Hand,Meyer,29.00%,,10% back of Jobber | $200 Flat Rate LTL Shipping,,,,
,Keystone,28-34%,,20% back of Jobber | $175 Flat Rate LTL Shipping,,,,
,A1 Distributing,,,,,,,
Rancho,Turn14,23.75%,,39% back of Jobber,,,,
Randy's Transmission,Randy's Transmission,Varies,,"Annual Rebates Available: 2% ($50,000-$99,999), 3% ($100,000-$499,999), 6% ($500,000+)",,,,
Rare Parts,Rare Parts,,,Top margin discount (Net -10%) is only achieved when SKU's are ordered in a quantity of at least 10; otherwise margin is 25%,,,,
*Rare Parts Non-MAP Protected Parts,Rare Parts,30.00%,15.00%,,,,,
