search_family,platform_family,vendor,display_name,official_website_url,search_url_template,runtime_preference,blocking_risk,verification_level
generic_keyword_search,custom,RockJock,RockJock,https://www.rockjock4x4.com/,https://www.rockjock4x4.com/search?keywords={sku},http_first_with_browser_fallback,low,verified
generic_q_search,shopify,AccuAir Suspension,AccuAir Suspension,https://accuair.com/,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,http_first,low,verified
generic_q_search,generic_get_search,Accutrim,Accutrim,https://www.accu-trim.com/,https://accu-trim.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,Adams Driveshaft & Offroad,Adams Driveshaft & Offroad,https://www.adamsdriveshaftoffroad.com/,https://www.adamsdriveshaftoffroad.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,https://aev-conversions.com/,https://aev-conversions.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Air Lift Company,Air Lift Company,https://www.airliftcompany.com/,https://airliftcompany.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,Apex Chassis,Apex Chassis,https://apexchassis.com/,https://apexchassis.com/search?q={sku}&search=,browser_first,low,verified
generic_q_search,generic_get_search,Artec Industries,Artec Industries,https://artecindustries.com/,https://artecindustries.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,ATS Diesel Performance,ATS Diesel Performance,https://atsdiesel.com/,https://atsdiesel.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Axiom Supply,Axiom Supply,https://axiomsupply.com/,https://axiomsupply.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Banks Power,Banks Power,https://bankspower.com/,https://bankspower.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,BDS Suspension,BDS Suspension,https://bds-suspension.com/,https://bds-suspension.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Big Days,Big Days,https://big-days.com/collections/accessories,https://big-days.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Bitterroot Diesel Performance,Bitterroot Diesel Performance,https://bitterrootdiesel.com/,https://bitterrootdiesel.com/search?q={sku}&type=product,http_first,low,verified
generic_q_search,generic_get_search,Blend Door USA,Blend Door USA,https://www.blenddoorusa.com/,https://www.blenddoorusa.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Warn,BorgWarner,https://www.warn.com/,https://warn.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,BuiltRight Industries,BuiltRight Industries,https://builtrightind.com/,https://builtrightind.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,BulletProof Diesel,BulletProof Diesel,https://bulletproofdiesel.com/,https://bulletproofdiesel.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,BulletProof Hitches,BulletProof Hitches,https://www.bulletproofhitches.com/,https://www.bulletproofhitches.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,CJC Off-Road,CJC Off-Road,https://www.cjcoffroad.com/,https://www.cjcoffroad.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Cometic Gaskets,Cometic Gaskets,https://www.cometic.com/,https://cometic.com/products/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,Complete Performance,Complete Performance,https://cpaddict.com/,https://cpaddict.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,CR2 Performance & Fabrication,CR2 Performance & Fabrication,https://cr2fabrication.com/pages/contact,https://cr2fabrication.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Customs Unlimited,Customs Unlimited,https://customsunlimited.com/pages/about-us,https://customsunlimited.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,D&J Precision Machine,D&J Precision Machine,https://djprecisionmachine.com/,https://djprecisionmachine.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Daystar,Daystar,https://daystarproducts.com/pages/dealer-locator,https://daystarproducts.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Diesel Power Products,Diesel Power Products,https://www.dieselpowerproducts.com/pages/contact,https://dieselpowerproducts.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Diesel Rx,Diesel Rx,https://dieselrx.com/,https://dieselrx.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,Dirt Church Industries,Dirt Church Industries,https://dirtchurchindustries.com/,https://dirtchurchindustries.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Dynatrac,Dynatrac,https://www.dynatrac.com/pages/about-us,https://www.dynatrac.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,EMF Ball Joints,EMF Ball Joints,https://emfballjoints.com/collections,https://emfballjoints.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Factor 55,Factor 55,https://www.factor55.com/,https://www.factor55.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Factory Aftermarket,Factory Aftermarket,https://factoryaftermarket.com/collections/all,https://factoryaftermarket.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Fast Coolers,Fast Coolers,https://www.fastcoolers.com/,https://www.fastcoolers.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,FOX Shocks,FOX Shocks,https://ridefox.com/,https://ridefox.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Full Send Diesel,Full Send Diesel,https://fullsenddiesel.com/,https://fullsenddiesel.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Gen-Y Hitch,GEN-Y Hitch,https://genyhitch.com/,https://genyhitch.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Generic Race Parts (GRP),Generic Race Parts (GRP),https://www.gregsraceparts.com/,https://www.gregsraceparts.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Glacier Diesel Power,Glacier Diesel Power,https://www.glacierdieselpower.com/,https://www.glacierdieselpower.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Grizzly,Grizzly Products,https://www.grizzly.com/,https://www.grizzly.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,H&S Motorsports,H&S Motorsports,https://hsmotorsports.com/,https://hsmotorsports.com/search?q={sku},http_first,low,probed
