vendor,display_name,official_website_url,search_url_template,active_search_sku_1,active_search_sku_2,active_sample_status,active_sample_source,candidate_search_sku_1,candidate_search_sku_2,last_checked_utc,notes
4x4 Posi-Lok,4x4 Posi-Lok,https://4x4posi-lok.com/,https://4x4posi-lok.com/?s={sku},,,pending_verification,discovery_seed,PSL-100,PSL-400,,Fallback candidate only until runtime validation confirms live SKUs.
73dipstick.com,73dipstick.com,https://73dipstick.com/,,,,pending_verification,discovery_seed,73D-110448,,,Fallback candidate only until runtime validation confirms live SKUs.
ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,https://www.addictivedesertdesigns.com/,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},,,pending_verification,discovery_seed,ADD-AC8101801NA,,,Fallback candidate only until runtime validation confirms live SKUs.
ADS Shocks,ADS Shocks,https://www.adsshocks.com/,https://www.adsshocks.com/search/?q={sku},,,pending_verification,discovery_seed,ADS-100ADS-10084,ADS-250-F2R45-000,,Fallback candidate only until runtime validation confirms live SKUs.
AEM,AEM,https://www.aemintakes.com/,https://www.aemintakes.com/search/{sku},AEM-AE-07087,AEM-21-9032DS,active,stage4_validated,AEM-30-3351,AEM-21-9032DS,2026-03-15T22:44:01Z,Stage 4 validated (unknown / drop_first_dash_token)
AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,https://aev-conversions.com/,https://aev-conversions.com/search?q={sku},AEV-N0340000AB,AEV-N0340001AB,active,stage4_validated,AEV-N0340000AB,AEV-N0340001AB,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
AFE,AFE,https://afepower.com/,https://afepower.com/catalogsearch/result/?q={sku},46-71370B,AFE46-60059,active,stage4_validated,46-71370B,AFE-46-20039,2026-03-15T22:01:55Z,Stage 4 end-to-end validated (magento_catalogsearch / drop_first_dash_token)
AMP Research,AMP Research,https://ampresearchco.com/about-us/,https://ampresearchco.com/?s={sku},AMP-75138-01A-B,AMP-75301-01A,active,stage4_validated,AMP-75301-01A,AMP-75146-01A,2026-03-15T20:22:22Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
ARB,ARB,https://arbusa.com/,https://store.arbusa.com/search-results-page?q={sku},ARB-RD139,ARB-RD162,active,stage4_validated,ARB-AR09,ARB-750001,,Fallback candidate only until runtime validation confirms live SKUs.
ARP Bolts,ARP Bolts,https://arp-bolts.com/,https://arp-bolts.com/,,,pending_verification,discovery_seed,ARP-230-4201,ARP-247-4206,,Fallback candidate only until runtime validation confirms live SKUs.
ATI Performance Products,ATI Performance Products,https://www.atiracing.com/,https://atiracing.com/search-results.htm?cx=017413898382317320130:lggw7qy_yqk&cof=FORID:11&q={sku},,,pending_verification,discovery_seed,ATI-917365,ATI-917365C,,Fallback candidate only until runtime validation confirms live SKUs.
ATS Diesel Performance,ATS Diesel Performance,https://atsdiesel.com/,https://atsdiesel.com/search?q={sku},,,pending_verification,discovery_seed,ATS-1039093278,ATS-1039102164,,Fallback candidate only until runtime validation confirms live SKUs.
AccuAir Suspension,AccuAir Suspension,https://accuair.com/,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,AA-3837,AA-3836,active,stage4_validated,AA-3837,AA-3836,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Accutrim,Accutrim,https://www.accu-trim.com/,https://accu-trim.com/search?q={sku},,,pending_verification,discovery_seed,AF-928,AF-DRD3-5/25-35,,Fallback candidate only until runtime validation confirms live SKUs.
Adams Driveshaft & Offroad,Adams Driveshaft & Offroad,https://www.adamsdriveshaftoffroad.com/,https://www.adamsdriveshaftoffroad.com/search?q={sku},,,pending_verification,discovery_seed,ADAMS-RAM-1350F-5GEN,ADAMS-RAM-1410F-5GEN,,Fallback candidate only until runtime validation confirms live SKUs.
Aeroturbine,Aeroturbine,https://www.aeroturbineparts.com/about/,https://aeroexhaust.com/search.html?q={sku},,,pending_verification,discovery_seed,AERO-AR20,AERO-AR25,,Fallback candidate only until runtime validation confirms live SKUs.
Air Lift Company,Air Lift Company,https://www.airliftcompany.com/,https://airliftcompany.com/search?q={sku},,,pending_verification,discovery_seed,AL-57399,AL-57575,,Fallback candidate only until runtime validation confirms live SKUs.
AirDog | PureFlow Technologies,AirDog | PureFlow Technologies,https://airdogdiesel.com/,https://airdogdiesel.com/?s={sku},PF-R3SBD100,PF-R3SBD150,active,shopify_cache,PFT-WS100,PF-R3SBD100,2026-03-15T19:51:32Z,drop_first_dash_token strips PF- prefix to search MPN (e.g. R3SBD100)
Airaid,Airaid,https://www.airaid.com/,https://www.airaid.com/search/{sku},AIR-300-128,AIR-790-550,active,stage4_validated,AIR-300-128,AIR-790-550,2026-03-15T22:44:01Z,Stage 4 validated (unknown / drop_first_dash_token)
Alliant Power,Alliant Power,https://alliantpower.com/,https://alliantpower.com/?s={sku},,,pending_verification,discovery_seed,AP-AP0015,ALI-AP0004,,Fallback candidate only until runtime validation confirms live SKUs.
Alpharex,Alpharex Performance Lighting,https://alpharexusa.com/,https://alpharexusa.com/search?type=product&options%5Bunavailable_products%5D=last&options%5Bprefix%5D=last&q={sku},ARX-880106,ARX-880107,verified_runtime,end_to_end_validation,ARX-810003,ARX-880538,2026-03-15T02:11:27+00:00,Prefer these SKUs for future validation runs.
American Axle & Manufacturing (AAM),American Axle & Manufacturing (AAM),https://www.aam.com/,,,,pending_verification,discovery_seed,AAM-DS U-926,,,Fallback candidate only until runtime validation confirms live SKUs.
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,https://www.atxwheels.com/,https://www.atxwheels.com/catalogsearch/result/?q={sku},AR-AR1726882,AR-AR1726882B,active,stage4_validated,AR-AR1726882,AR-AR1726882B,2026-03-15T22:01:55Z,Stage 4 end-to-end validated (magento_catalogsearch / drop_first_dash_token)
Anvil Off-Road,Anvil Off-Road,https://www.anviloffroad.ca/,https://www.holley.com/search/?q={sku},,,pending_verification,discovery_seed,AOR-2791AOR,AOR-17011AOR,,Fallback candidate only until runtime validation confirms live SKUs.
Apex Chassis,Apex Chassis,https://apexchassis.com/,https://apexchassis.com/search?q={sku}&search=,,,pending_verification,discovery_seed,APX-BJ162,APX-KIT101K,,Fallback candidate only until runtime validation confirms live SKUs.
Apex Designs,Apex Designs,https://apexdesignsllc.com/,https://apexdesignsllc.com/?s={sku},,,pending_verification,discovery_seed,APXD-X02-02-002,APXD-X02-02-001,,Fallback candidate only until runtime validation confirms live SKUs.
Artec Industries,Artec Industries,https://artecindustries.com/,https://artecindustries.com/search?q={sku},ARTEC-TR1101,ARTEC-TR9251,active,stage4_validated,ARTEC-TR1101,ARTEC-TR9251,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Auto Meter,Auto Meter,https://www.autometer.com/,https://www.autometer.com/catalogsearch/result?q={sku},,,pending_verification,discovery_seed,AM-8586,AM-8593,,Fallback candidate only until runtime validation confirms live SKUs.
AutoEnginuity,AutoEnginuity,https://www.autoenginuity.com/,https://www.autoenginuity.com/?s={sku},,,pending_verification,discovery_seed,Auto-EI02,AUTO-EI02,,Fallback candidate only until runtime validation confirms live SKUs.
Axiom Supply,Axiom Supply,https://axiomsupply.com/,https://axiomsupply.com/search?q={sku},AXS-AXTL03,AXS-AX3228,active,stage4_validated,AXS-AXTL03,AXS-AXGMEL02,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
B&M Shifters,B&M Shifters,https://www.bmracing.com/,https://www.holley.com/search/?q={sku},,,pending_verification,discovery_seed,BM-45199,BM-70397,,Fallback candidate only until runtime validation confirms live SKUs.
BD-Power,BD-Power,https://us.bddiesel.com/,https://us.bddiesel.com/collections/shop?q={sku},,,pending_verification,discovery_seed,BD-1027144,BD-1027150,,Fallback candidate only until runtime validation confirms live SKUs.
BDS Suspension,BDS Suspension,https://bds-suspension.com/,https://bds-suspension.com/search?q={sku},,,pending_verification,discovery_seed,BDS-189H,BDS-121251,,Fallback candidate only until runtime validation confirms live SKUs.
BMC Lights,BMC Lights,https://bmclights.com/,https://bmclights.com/shop-for-bmc-kits/ols/search?keywords={sku},BMC-RAM-250-HB-RGD-STD,BMC-FRD-F25-F45-HTC-FLD-RGD-IGN,active,stage4_validated,BMC-RAM-250-HB-RGD-STD,BMC-FRD-F25-F45-HTC-FLD-RGD-IGN,2026-03-15T22:44:01Z,Stage 4 validated (unknown / drop_first_dash_token)
Baer Brake Systems,Baer Brake Systems,https://www.baer.com/,https://www.baer.com/search/?q={sku},,,pending_verification,discovery_seed,BAER-2141023-2,BAER-2142013-2,,Fallback candidate only until runtime validation confirms live SKUs.
Baja Designs Offroad LED Lights,Baja Designs Offroad LED Lights,https://www.bajadesigns.com/,https://www.bajadesigns.com/?s={sku},BD-107004,BAJA-447502,active,stage4_validated,BD-107004,BAJA-447502,2026-03-15T21:12:07Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
Baldwin Filters,Baldwin Filters,https://www.baldwinfilters.com/us/en.html,,,,pending_verification,discovery_seed,PF7977,,,Fallback candidate only until runtime validation confirms live SKUs.
Banks Power,Banks Power,https://bankspower.com/,https://bankspower.com/search?q={sku},BAN-25987,BAN-25988,active,stage4_validated,BAN-25987,BAN-25988,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
