success_priority,vendor,display_name,official_website_status,official_website_url,sample_sku,search_url_template,search_template_status,search_result_mode,platform_family,search_family,transport,parameter_name,confidence_bucket,browser_required_hint,blocking_hint,resolver_hint,review_notes
0-2-1,Banks Power,Banks Power,confirmed,https://bankspower.com/,BAN-25987,https://bankspower.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,BDS Suspension,BDS Suspension,confirmed,https://bds-suspension.com/,BDS-189H,https://bds-suspension.com/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Carli Suspension,Carli Suspension,confirmed,https://www.carlisuspension.com/,CS-FLC-05,https://www.carlisuspension.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Fleece Performance Engineering,Fleece Performance Engineering,confirmed,https://www.fleeceperformance.com/,FPE-CP3X2,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},detected,search_results,magento,magento_catalogsearch,GET,q,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,Sprint Booster,Sprint Booster,confirmed,https://www.sprintboosterusa.com/,SBDO1003S,https://www.sprintboosterusa.com/?s={sku},detected,search_results,wordpress_like,wordpress_s_query,GET,s,medium,no,,jsonld_searchaction_or_html_form,
0-2-1,TS Performance,TS Performance,confirmed,https://www.tsperformanceofficial.com/,TS-1290301,/search?q={sku},detected,search_results,generic_get_search,generic_q_search,GET,q,medium,no,,jsonld_searchaction_or_html_form,
1-0-0,Nitrous Express,Nitrous Express,probable,https://www.nitrousexpress.com/,NX-D1000,https://www.nitrousexpress.com/search.asp?search_prod={sku},confirmed,search_results,custom,product_search_search_prod,GET,search_prod,high,no,,playwright_search_submit,
1-0-0,NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,probable,https://www.noswizard.com/,NOS-02521NOS,https://www.noswizard.com/catalogsearch/result/?q={sku},confirmed,search_results,magento,magento_catalogsearch,GET,q,high,no,,playwright_search_submit,
1-2-1,Powermaster Performance Starters and Alternators,Powermaster Performance Starters and Alternators,probable,https://www.powermasterperformance.com/about-us,PM-7767,https://www.powermasterperformance.com/catalogsearch/result/index/?q={sku},detected,search_results,magento,magento_catalogsearch,GET,q,medium,no,,jsonld_searchaction_or_html_form,
