vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
Mechman Alternators,Mechman Alternators,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,MECH-7796240,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files",,search_seed,https://mechman.com/240-amp-alternator-for-ford-powerstroke-bstock/?searchid=352511&search_query=7796240,Mechman Alternators 240 amp alternator for *** BSTOCK *** Ford Powerstroke,Mechman Alternators,,Motor Vehicle Parts,,,yes,0,,ford | 67fordcoldairintake,,,,,
Mechman Alternators,Mechman Alternators,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,MECH-B11348400B,success check,"title, description_html, media_urls, price, barcode, application, vendor, media_local_files",,search_seed,https://mechman.com/dual-bracket-2001-gm-6-6l-duramax-engines-includes-1-x-b11348400b/?searchid=352512&search_query=B11348400B,Mechman Alternators Dual Bracket 2001 (Includes 1 x B11348400B) GM 6.6L Duramax,Mechman Alternators,,Motor Vehicle Parts,,,yes,0,,duramax | EcoDual,,,,,
Proforged,Proforged Steering & Suspension,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,PROF-104-10966,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files",,search_seed,https://proforged.com/proforged-104-10966-severe-duty-steering-tie-rod-end-set/?searchid=621979&search_query=10966,Proforged 104-10966 Severe Duty Steering Tie Rod End Set,Proforged,Suspension & Steering,Motor Vehicle Controls,Suspension & Steering,Control Arms / Radius Arms,yes,0,,duramaxsteering | carlisuspension,yes,,,,
Proforged,Proforged Steering & Suspension,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,PROF-113-10546,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files",,search_seed,https://proforged.com/proforged-104-10546-inner-tie-rod-end/?searchid=621980&search_query=10546,Proforged 104-10546 Inner Tie Rod End,Proforged,Suspension & Steering,Motor Vehicle Controls,Suspension & Steering,Control Arms / Radius Arms,yes,0,,carlisuspension | fuelcontrolactuator,yes,,,,
Revolution Gear & Axle,Revolution Gear & Axle,bigcommerce_search_php_query,,http_first,low,detected,D70-373,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Revolution Gear & Axle,Revolution Gear & Axle,bigcommerce_search_php_query,,http_first,low,detected,D70-410,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Rock Krawler,Rock Krawler,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,RK-F2XF4005,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Rock Krawler,Rock Krawler,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,RK-RK02542,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Rotomaster,Rotomaster,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,probed,ROT-H1350212N,success check,"title, description_html, media_urls, application, vendor, media_local_files",,search_seed,https://rotomaster.com/products/replacement-cartridges/replacement-cartridge-for-1994-1998-5-9l-exc-calif-manual-t-dodge-cummins-h1350212n/?searchid=178660&search_query=H1350212N,Rotomaster Replacement Cartridge for Exc. Calif (Manual T.) H1350212N 94-98 Ram 5.9L Cummins,Rotomaster,Manual Transmission,Motor Vehicle Transmission & Drivetrain Parts,Manual Transmission,,yes,0,,Cummins | cumminsprogrammers,yes,,,,
Rotomaster,Rotomaster,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,probed,ROT-S1640303N,success check,"title, description_html, media_urls, application, vendor, media_local_files",,search_seed,https://rotomaster.com/products/service-kits/turbo-rebuild-kit-for-2008-2010-6-4l-high-pressure-turbo-ford-powerstroke-s1640303n/?searchid=178661&search_query=S1640303N,Rotomaster Turbo Rebuild Kit for High Pressure Turbo S1640303N 08-10 Ford 6.4L Powerstroke,Rotomaster,Turbos & Accessories,Motor Vehicle Engine Parts,Turbos & Accessories,Rebuild Kits,yes,0,,howtoreplaceturbo | ford,yes,,,,
