vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,magento_catalogsearch,,http_first,low,verified,NOS-02521NOS,fail X,,https://www.noswizard.com/catalogsearch/result/?q=NOS-02521NOS (Remote end closed connection without response),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Powermaster Performance Starters and Alternators,Powermaster Performance Starters and Alternators,magento_catalogsearch,,http_first,low,detected,PM-7767,fail X,,No SKU-specific product result found from search page. https://www.powermasterperformance.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://www.powermasterperformance.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Powermaster Performance Starters and Alternators,Powermaster Performance Starters and Alternators,magento_catalogsearch,,http_first,low,detected,PM-7796,fail X,,No SKU-specific product result found from search page. https://www.powermasterperformance.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://www.powermasterperformance.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Race Sport Lighting,Race Sport Lighting,magento_catalogsearch,,http_first,low,detected,RSL-1007656,fail X,,https://www.racesportinc.com/catalogsearch/result/index/?q=RSL-1007656 (The read operation timed out),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Race Sport Lighting,Race Sport Lighting,magento_catalogsearch,,http_first,low,detected,RSL-1007659,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ReadyLIFT Suspension,ReadyLIFT Suspension,magento_catalogsearch,,http_first,low,verified,RL-66-2299,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ReadyLIFT Suspension,ReadyLIFT Suspension,magento_catalogsearch,,http_first,low,verified,RL-69-4630,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Rigid Industries,Rigid Industries,magento_catalogsearch,,http_first,low,detected,RIGID-36360,fail X,,No SKU-specific product result found from search page. https://www.rigidindustries.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://www.rigidindustries.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Rigid Industries,Rigid Industries,magento_catalogsearch,,http_first,low,detected,RIGID-40200,fail X,,No SKU-specific product result found from search page. https://www.rigidindustries.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://www.rigidindustries.com/rest/default/V1/products-render-info (HTTP 400),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ADS Shocks,ADS Shocks,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,ADS-100ADS-10100,fail X,,https://www.adsshocks.com/search/?q=100ADS-10100 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ADS Shocks,ADS Shocks,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,ADS-100ADS-10141,fail X,,https://www.adsshocks.com/search/?q=100ADS-10141 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Anvil Off-Road,Anvil Off-Road,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,AOR-2791AOR,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Anvil Off-Road,Anvil Off-Road,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,AOR-3011AOR,fail X,,https://www.holley.com/search/?q=3011AOR (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ATI Performance Products,ATI Performance Products,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,review,ATI-917365,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ATI Performance Products,ATI Performance Products,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,review,ATI-917374,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
B&M Shifters,B&M Shifters,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BM-11317,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
B&M Shifters,B&M Shifters,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BM-45199,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Baer Brake Systems,Baer Brake Systems,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BAER-2141023-2,fail X,,https://www.baer.com/search/?q=2141023-2 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Baer Brake Systems,Baer Brake Systems,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,BAER-2142013-2,fail X,,https://www.baer.com/search/?q=2142013-2 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
BD-Power,BD-Power,path_or_query_search,,http_first_with_browser_fallback,low,verified,BD-1027144,success check,"title, description_html, media_urls, application, vendor, media_local_files",,,https://us.bddiesel.com/collections/shop?q=bd-1027144,Blend Door USA Search Results GM 6.6L Duramax,Blend Door USA,,Motor Vehicle Parts,,,yes,0,,duramax | 30l_duramax,,,,,
BD-Power,BD-Power,path_or_query_search,,http_first_with_browser_fallback,low,verified,BD-1027150,success check,"title, description_html, media_urls, application, vendor, media_local_files",,,https://us.bddiesel.com/collections/shop?q=bd-1027150,Blend Door USA Search Results GM 6.6L Duramax,Blend Door USA,,Motor Vehicle Parts,,,yes,0,,duramax | 30l_duramax,,,,,
Bilstein Shock Absorbers,Bilstein Shock Absorbers,path_or_query_search,results_page_clickthrough,browser_first,low,verified,BIL-24-158848,success check,"title, media_urls, vendor, media_local_files",,,https://cart.bilsteinus.com/catalogue?typeofsearch=1&search_query_adv=158848,catalogue,catalogue,,Motor Vehicle Parts,,,,0,,,,,,,
Bilstein Shock Absorbers,Bilstein Shock Absorbers,path_or_query_search,results_page_clickthrough,browser_first,low,verified,BIL-24-185462,success check,"title, media_urls, vendor, media_local_files",,,https://cart.bilsteinus.com/catalogue?typeofsearch=1&search_query_adv=185462,catalogue,catalogue,,Motor Vehicle Parts,,,,0,,,,,,,
Calibrated Power,Calibrated Power,path_or_query_search,results_page_clickthrough,http_first,low,probed,CP-03046LPS,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Calibrated Power,Calibrated Power,path_or_query_search,results_page_clickthrough,http_first,low,probed,CP-13U7H001,success check,"title, description_html, media_urls, price, vendor, media_local_files",,sunhammer,https://cps.webshopmanager.com/i-1722?q=13U7H001,Calibrated Power Solutions Stealth Boost Tester,Calibrated Power Solutions,,Motor Vehicle Parts,,,yes,0,,boostleak | Ecoboost,,,,,
Cummins Diesel Parts,Cummins Diesel Parts,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,DPP-12VB,success check,"title, description_html, vendor",,,https://parts.cummins.com/global-search/main/12VB,Genuine Cummins Parts Cummins,Genuine Cummins Parts,,Motor Vehicle Parts,,,yes,0,,Cummins | 0307cumminsrepairs,,,,,
Cummins Diesel Parts,Cummins Diesel Parts,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,DPP-3931623,success check,"title, description_html, vendor",,,https://parts.cummins.com/global-search/main/3931623,Genuine Cummins Parts Cummins,Genuine Cummins Parts,,Motor Vehicle Parts,,,yes,0,,Cummins | 0307cumminsrepairs,,,,,
Dana / Spicer,Dana / Spicer,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,DANA-DS U-925,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://www.dana.com/products/light-vehicle/,DANA Light Vehicle,DANA,Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,yes,0,,headlights,yes,,,,
Dana / Spicer,Dana / Spicer,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SPICER-SPL55-3X,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://www.dana.com/products/light-vehicle/,DANA Light Vehicle,DANA,Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,yes,0,,headlights,yes,,,,
DieselSite,DieselSite,path_or_query_search,results_page_clickthrough,browser_first,low,verified,DS-OC6,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
DieselSite,DieselSite,path_or_query_search,results_page_clickthrough,browser_first,low,verified,DS-WW35,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Dorman,Dorman,path_or_query_search,results_page_clickthrough,browser_first,low,verified,DOR-600-202,success check,"title, media_urls, vendor, media_local_files",,,https://www.dormanproducts.com/gsearch.aspx?type=oesearch&origin=oesearch&q=202,ShieldSquare Captcha,ShieldSquare Captcha,,Motor Vehicle Parts,,,,0,,,,,,,
Dorman,Dorman,path_or_query_search,results_page_clickthrough,browser_first,low,verified,DOR-679-005,success check,"title, media_urls, vendor, media_local_files",,,https://www.dormanproducts.com/gsearch.aspx?type=oesearch&origin=oesearch&q=005,ShieldSquare Captcha,ShieldSquare Captcha,,Motor Vehicle Parts,,,,0,,,,,,,
Driven Diesel,Driven Diesel,path_or_query_search,results_page_clickthrough,browser_first,low,verified,DD-73L-OBA,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://www.strictlydiesel.com/product/2677/driven-diesel-overboost-annihilator,Strictly Diesel - Driven Diesel Overboost Annihilator,Strictly Diesel - Driven Diesel Overboost Annihilator,,Motor Vehicle Parts,,,yes,0,,diesel | cumminsdiesel,,,,,
Driven Diesel,Driven Diesel,path_or_query_search,results_page_clickthrough,browser_first,low,verified,DD-73L-TSHR,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://www.strictlydiesel.com/product/2672/driven-diesel-thermostat-housing-reinforcement-ring-kit,Strictly Diesel - Driven Diesel Thermostat Housing Reinforcement Ring Kit,Strictly Diesel - Driven Diesel Thermostat Housing Reinforcement Ring Kit,,Motor Vehicle Parts,,,yes,0,,diesel | cumminsdiesel,,,,,
Edge Products,Edge Products,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,EDG-28405,fail X,,https://www.edgeproducts.com/search/?q=28405 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Edge Products,Edge Products,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,EDG-30203,fail X,,https://www.edgeproducts.com/search/?q=30203 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Fender Gripper,Fender Gripper,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,FND-FG2001,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Fender Gripper,Fender Gripper,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,FND-FG2219,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Ford Motor Company,Ford Motor Company,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,FA-1757,fail X,,https://www.ford.com/search/?f%3AsearchInputString=1757 (The read operation timed out),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Ford Motor Company,Ford Motor Company,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,FORD-RG571,fail X,,https://www.ford.com/search/?f%3AsearchInputString=RG571 (<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Full Force Diesel,Full Force Diesel,path_or_query_search,results_page_clickthrough,browser_first,high,verified,FFD-FFD143,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Full Force Diesel,Full Force Diesel,path_or_query_search,results_page_clickthrough,browser_first,high,verified,FFD-FFD162,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://www.fullforcediesel.com/ebp-pedestal-actuator-isolator-pigtail-73-powerstroke,Full Force Diesel 7.3 OBS FFD162 EBP Pedestal Actuator Isolator Pigtail 7.3L Powerstroke,Full Force Diesel,,Motor Vehicle Sensors & Gauges,,,yes,0,,diesel | 73powerstrokeperformance,,,,,
Hays Clutches,Hays Clutches,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,HAYS-92D-3000,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files",,search_seed,https://www.holley.com/products/deals/sale/,Sale - Save Big On Holley Car & Truck Parts Holley.com,Sale - Save Big On Holley Car & Truck Parts,,Motor Vehicle Parts,,,yes,0,,electrictruck | CARB,,,,,
Hays Clutches,Hays Clutches,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,HAYS-92D-3001,success check,"title, description_html, media_urls, barcode, vendor, media_local_files",,search_seed,https://www.holley.com/products/exhaust/,Performance Exhaust Systems for Cars & Trucks,Performance Exhaust Systems for Cars & Trucks,Exhaust,Motor Vehicle Exhaust,Exhaust,Up Pipes,yes,0,,diesel_exhaust | electricexhaustbrake,yes,,,,
HPS Performance,HPS Performance,path_or_query_search,,http_first_with_browser_fallback,low,verified,HPS-57-1539,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
HPS Performance,HPS Performance,path_or_query_search,,http_first_with_browser_fallback,low,verified,HPS-57-2209,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Kleinn Air Horns,Kleinn Air Horns,path_or_query_search,,browser_first,high,verified,KLN-6880,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Kleinn Air Horns,Kleinn Air Horns,path_or_query_search,,browser_first,high,verified,KLN-6890,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files, fuzzy_match",Fuzzy SKU match from search provider. Verify product selection.,searchanise_fuzzy,https://kleinn.com/products/ultra-blastmaster-upgrade-kit-6890-for-model-730-demon-train-horns,Kleinn Ultra BlastMaster Upgrade Kit 6890 for Model 730 Demon,Kleinn,Air Horn Kits,Motor Vehicle Parts,Air Horn Kits,,yes,0,,24valvecumminsrepairs | install,yes,,,,
MAHLE,MAHLE,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,MAH-54557,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
MAHLE,MAHLE,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,MAH-54774,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Merchant Automotive,Merchant Automotive,path_or_query_search,results_page_clickthrough,http_first,low,verified,MA-10000,success check,"title, media_urls, media_local_files",,,https://www.merchant-automotive.com/shop/,Search Results,,,Motor Vehicle Parts,,,,0,,,,,,,
Merchant Automotive,Merchant Automotive,path_or_query_search,results_page_clickthrough,http_first,low,verified,MA-10813,success check,"title, media_urls, media_local_files",,,https://www.merchant-automotive.com/shop/,Search Results,,,Motor Vehicle Parts,,,,0,,,,,,,
Mopar | Factory OEM Dodge Ram,Mopar | Factory OEM Dodge Ram,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,MOP-52087514,fail X,,https://www.mopar.com/en-us/search/results.html?search=52087514 (HTTP 403),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Mopar | Factory OEM Dodge Ram,Mopar | Factory OEM Dodge Ram,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,MOP-52118500,fail X,,https://www.mopar.com/en-us/search/results.html?search=52118500 (HTTP 403),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
PacBrake,PacBrake,path_or_query_search,results_page_clickthrough,http_first,low,verified,PB-C11342,success check,"title, description_html, media_urls, price, weight, vendor, media_local_files",,search_seed,https://pacbrake.com/c11342-exhaust-brake-adapter.html,PacBrake C11342-Exhaust Brake Adapter,PacBrake,Exhaust Brakes / Engine Brakes,Motor Vehicle Exhaust,Exhaust Brakes / Engine Brakes,,yes,0,,electricexhaustbrake | brakes,yes,,,,
PacBrake,PacBrake,path_or_query_search,results_page_clickthrough,http_first,low,verified,PB-C14010,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
PML Covers,PML Covers,path_or_query_search,results_page_clickthrough,http_first,low,verified,PML-9323-B,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://yourcovers.com/push-in-breather.html,PML YourCovers.com Push In Breather,PML YourCovers.com,Axles & Differentials,Motor Vehicle Transmission & Drivetrain Parts,Axles & Differentials,Differential Covers,yes,0,,dieselengines | automatictransmission,yes,,,,
PML Covers,PML Covers,path_or_query_search,results_page_clickthrough,http_first,low,verified,PML-9393-B,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://yourcovers.com/push-in-breather.html,PML YourCovers.com Push In Breather,PML YourCovers.com,Axles & Differentials,Motor Vehicle Transmission & Drivetrain Parts,Axles & Differentials,Differential Covers,yes,0,,dieselengines | automatictransmission,yes,,,,
Realtruck Superlift Suspension,RealTruck SuperLift Suspension,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,RT-146,success check,"title, description_html, media_urls, price, weight, vendor, media_local_files",,search_seed,https://realtruck.com/p/ion-gloss-black-146-wheels/,ICON Alloys Ion Gloss Black 146 Wheels,ICON Alloys,Wheel & Tire,Motor Vehicle Tire Accessories,Wheel & Tire,Wheels,yes,0,,allison6speedconversion | automatictransmission,yes,,,,
Realtruck Superlift Suspension,RealTruck SuperLift Suspension,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,SUP-140,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
RetroBright LED,RetroBright LED,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,RB-LFRB130,fail X,,https://www.holley.com/search/?q=LFRB130 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
RetroBright LED,RetroBright LED,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,RB-LFRB150,success check,"title, description_html, media_urls, price, barcode, application, vendor, media_local_files",,search_seed,https://www.holley.com/products/deals/sale/,Sale - Save Big On Holley Car & Truck Parts Holley.com 04-14 Ram 5.9L Cummins,Sale - Save Big On Holley Car & Truck Parts,,Motor Vehicle Parts,,,yes,0,,Chrysler | Cummins,,,,,
Sinister Diesel,Sinister Diesel,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SD-BK-6.0,success check,"title, vendor",,,https://sinisterdiesel.com/mm5/merchant.mvc?Screen=CTGY&Category_Code=shop,Sinister Diesel: Search Results,Sinister Diesel: Search Results,,Motor Vehicle Parts,,,,0,,diesel | cumminsdiesel,,,,,
Sinister Diesel,Sinister Diesel,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SD-OC-6.0,success check,"title, vendor",,,https://sinisterdiesel.com/mm5/merchant.mvc?Screen=CTGY&Category_Code=shop,Sinister Diesel: Search Results,Sinister Diesel: Search Results,,Motor Vehicle Parts,,,,0,,diesel | cumminsdiesel,,,,,
SunCoast Performance,SunCoast Performance,path_or_query_search,results_page_clickthrough,browser_first,low,verified,SC-48-1,success check,"title, description_html, media_urls, price, vendor, media_local_files",,sunhammer,https://suncoastdiesel.com/i-30503273?q=1,Sinister Diesel Pump Bushing Steel Backed Bimetal GM 6.6L Duramax,Sinister Diesel,Automatic Transmission,Motor Vehicle Transmission & Drivetrain Parts,Automatic Transmission,,yes,0,,diesel | automatictransmission,yes,,,,
SunCoast Performance,SunCoast Performance,path_or_query_search,results_page_clickthrough,browser_first,low,verified,SC-48-2,success check,"title, description_html, media_urls, price, vendor, media_local_files",,sunhammer,https://suncoastdiesel.com/i-30505534?q=2,Sinister Diesel 10R80 10L80 Friction Clutch Plate Module 2017-ON Exedy GM 6.6L Duramax,Sinister Diesel,Automatic Transmission,Motor Vehicle Transmission & Drivetrain Parts,Automatic Transmission,Flex Plates,yes,0,Automatic Transmission | 2017-2019 GM 6.6 Duramax L5P,clutch | diesel,yes,,,,
Superchips,Superchips,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SC-1545,success check,"title, description_html, media_urls, price, barcode, application, vendor, media_local_files",,search_seed,https://www.holley.com/products/exhaust/headers_and_exhaust_manifolds/,Exhaust Headers and Manifolds 90-04 GM 6.6L Duramax,Exhaust Headers and Manifolds,Exhaust,Motor Vehicle Exhaust,Exhaust,Exhaust Manifolds,yes,0,,diesel_exhaust | electricexhaustbrake,yes,,,,
Superchips,Superchips,path_or_query_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,SC-3545,fail X,,https://www.holley.com/search/?q=3545 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
4x4 Posi-Lok,4x4 Posi-Lok,wordpress_s_query,,http_first,low,detected,PSL-100,success check,"title, media_urls, vendor, media_local_files",,,https://4x4posi-lok.com/?s=PSL-100,4x4 Posi-Lok You searched for PSL-100-,4x4 Posi-Lok,,Motor Vehicle Parts,,,,0,,,,,,,
4x4 Posi-Lok,4x4 Posi-Lok,wordpress_s_query,,http_first,low,detected,PSL-400,success check,"title, media_urls, vendor, media_local_files",,,https://4x4posi-lok.com/?s=PSL-400,4x4 Posi-Lok You searched for PSL-400-,4x4 Posi-Lok,,Motor Vehicle Parts,,,,0,,,,,,,
AirDog | PureFlow Technologies,AirDog | PureFlow Technologies,wordpress_s_query,,http_first,low,verified,PF-R3SBD100,success check,"title, media_urls, vendor, media_local_files",,,https://airdogdiesel.com/?s=PF-R3SBD100,"Apex Designs ""PF R3SBD100"" AirDog",Apex Designs,,Motor Vehicle Parts,,,,0,,BD,,,,,
AirDog | PureFlow Technologies,AirDog | PureFlow Technologies,wordpress_s_query,,http_first,low,verified,PF-R3SBD150,success check,"title, media_urls, vendor, media_local_files",,,https://airdogdiesel.com/?s=PF-R3SBD150,"Apex Designs ""PF R3SBD150"" AirDog",Apex Designs,,Motor Vehicle Parts,,,,0,,BD,,,,,
Alliant Power,Alliant Power,wordpress_s_query,,http_first,low,detected,ALI-AP0004,success check,"title, media_urls, vendor, media_local_files",,,https://alliantpower.com/?s=ALI-AP0004,Alliant Power You searched for ALI AP0004-,Alliant Power,,Motor Vehicle Parts,,,,0,,60lpowerstrokefix | 60powerstrokeperformance,,,,,
Alliant Power,Alliant Power,wordpress_s_query,,http_first,low,detected,AP-AP0015,success check,"title, media_urls, vendor, media_local_files",,,https://alliantpower.com/?s=AP-AP0015,Alliant Power You searched for AP AP0015-,Alliant Power,,Motor Vehicle Parts,,,,0,,60lpowerstrokefix | 60powerstrokeperformance,,,,,
AMP Research,AMP Research,wordpress_s_query,,http_first,low,verified,AMP-75138-01A-B,success check,"title, media_urls, vendor, media_local_files",,,https://ampresearchco.com/?s=AMP-75138-01A-B,AMP Research You searched for AMP-75138-01A B,AMP Research,,Motor Vehicle Parts,,,,0,,clamps,,,,,
AMP Research,AMP Research,wordpress_s_query,,http_first,low,verified,AMP-75301-01A,success check,"title, media_urls, vendor, media_local_files",,,https://ampresearchco.com/?s=AMP-75301-01A,AMP Research You searched for AMP-75301-01A,AMP Research,,Motor Vehicle Parts,,,,0,,clamps,,,,,
Apex Designs,Apex Designs,wordpress_s_query,,http_first,low,probed,APXD-X02-02-006,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Apex Designs,Apex Designs,wordpress_s_query,,http_first,low,probed,APXD-X02-05-002,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
AutoEnginuity,AutoEnginuity,wordpress_s_query,,http_first,low,detected,AE-ST07+EI01,success check,"title, media_urls, vendor, media_local_files",,,https://www.autoenginuity.com/?s=AE-ST07%2BEI01,AutoEnginuity You searched for AE ST07+EI01-,AutoEnginuity,,Motor Vehicle Parts,,,,0,,autoenginuity,,,,,
AutoEnginuity,AutoEnginuity,wordpress_s_query,,http_first,low,detected,AE-VSI-J2534,success check,"title, media_urls, vendor, media_local_files",,,https://www.autoenginuity.com/?s=AE-VSI-J2534,AutoEnginuity You searched for AE VSI J2534-,AutoEnginuity,,Motor Vehicle Parts,,,,0,,autoenginuity,,,,,
Baja Designs Offroad LED Lights,Baja Designs Offroad LED Lights,wordpress_s_query,,http_first,low,detected,BAJA-447502,success check,"title, media_urls, vendor, media_local_files",,,https://www.bajadesigns.com/?s=BAJA-447502,"Baja Designs - Off-Road LED & Laser Lights | Automotive, Jeep, Truck, UTV, ADV, Dirtbike You searched for BAJA-447502- Jeep","Baja Designs - Off-Road LED & Laser Lights | Automotive, Jeep, Truck, UTV, ADV, Dirtbike",Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,,0,,Jeep | headlights,yes,,,,
Baja Designs Offroad LED Lights,Baja Designs Offroad LED Lights,wordpress_s_query,,http_first,low,detected,BD-107004,success check,"title, media_urls, vendor, media_local_files",,,https://www.bajadesigns.com/?s=BD-107004,"Baja Designs - Off-Road LED & Laser Lights | Automotive, Jeep, Truck, UTV, ADV, Dirtbike You searched for BD-107004- Jeep","Baja Designs - Off-Road LED & Laser Lights | Automotive, Jeep, Truck, UTV, ADV, Dirtbike",Lighting,Motor Vehicle Lighting,Lighting,Cab Lights,,0,,Jeep | BD,yes,,,,
Black Mamba Gloves,Black Mamba Gloves,wordpress_s_query,,http_first,low,verified,BMG-OMG-110,success check,,,,https://www.blackmambagloves.com/?s=BMG-OMG-110,,,,Motor Vehicle Parts,,,,0,,,,,,,
Black Mamba Gloves,Black Mamba Gloves,wordpress_s_query,,http_first,low,verified,BMG-OMG-120,success check,,,,https://www.blackmambagloves.com/?s=BMG-OMG-120,,,,Motor Vehicle Parts,,,,0,,,,,,,
Bubba Rope,Bubba Rope,wordpress_s_query,,http_first,low,detected,BR-176000OR,success check,"title, media_urls, vendor, media_local_files",,,https://www.bubbarope.com/?s=BR-176000OR,Bubba Rope You searched for BR-176000OR,Bubba Rope,,Motor Vehicle Parts,,,,0,,,,,,,
Bubba Rope,Bubba Rope,wordpress_s_query,,http_first,low,detected,BR-176016OR,success check,"title, media_urls, vendor, media_local_files",,,https://www.bubbarope.com/?s=BR-176016OR,Bubba Rope You searched for BR-176016OR,Bubba Rope,,Motor Vehicle Parts,,,,0,,,,,,,
Bully Dog,Bully Dog,wordpress_s_query,,http_first,low,detected,BUL-30490,success check,"title, media_urls, vendor, media_local_files",,,https://bullydog.com/?s=BUL-30490,Bully Dog You searched for BUL-30490-,Bully Dog,,Motor Vehicle Parts,,,,0,,,,,,,
Bully Dog,Bully Dog,wordpress_s_query,,http_first,low,detected,BUL-31310,success check,"title, media_urls, vendor, media_local_files",,,https://bullydog.com/?s=BUL-31310,Bully Dog You searched for BUL-31310-,Bully Dog,,Motor Vehicle Parts,,,,0,,,,,,,
Bully Dog Big Rig,Bully Dog Big Rig,wordpress_s_query,,http_first,low,detected,BUL-56700,success check,"title, media_urls, vendor, media_local_files",,,https://bullydog.com/?s=BUL-56700,Bully Dog You searched for BUL-56700-,Bully Dog,,Motor Vehicle Parts,,,,0,,,,,,,
